"API Login ID","API brukernavn/ID"
"Authorize Only","Bare godkjenn"
"Authorize and Capture","Godkjenn og motta betaling"
"Authorize.net","Authorize.net."
"Credit Card Types","Kredittkorttyper"
"Credit Card Verification","Kredittkortverifikasjon"
"Debug","Feilsøking"
"Email customer","Send epost til kunde"
"Enabled","Aktivert"
"Error in authorizing the payment","Feil ved godkjenning av betaling"
"Error in capturing the payment","Feil ved innhenting av betaling"
"Error in payment gateway","Feil med betalingsformidler"
"Error in refunding the payment","Feil ved tilbakebetaling"
"Error in refunding the payment.","Feil ved tilbakebetaling."
"Error in retrieving the transaction","En feil oppstod under henting av transaksjon"
"Fraud order status","Status over falske ordre"
"Gateway request error: %s","Feil med betalingsformidler: %s"
"Invalid amount for authorization","Ugyldig beløp for godkjenning"
"Invalid amount for authorization.","Ugyldig beløp for godkjenning."
"Invalid transaction id","Ugyldig transaksjons-ID"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","Innlogging for Merchant"
"Merchant's email","Merchant e-postadresse"
"Minimum Order Total","Minimum Order Total"
"New order status","Ny ordrestatus"
"Partner","Partner:"
"Password","Passord"
"Payflow Pro","Payflow Pro."
"Payment Action","Betalingshandling"
"Payment authorization error.","Godkjenning av betaling feilet."
"Payment authorization transaction has been declined.","Transaksjon for godkjenning av betaling ble nektet."
"Payment from Specific countries","Betaling fra spesifikke land"
"Payment from applicable countries","Betaling fra tillatte land"
"Proxy Host","Proxy Host."
"Proxy Port","Proxy Port."
"Sort order","Sorteringsrekkefølge"
"TENDER","ANBUD"
"Test mode","Testmodus"
"Title","Tittel"
"Transaction key","Transaksjonsnøkkel"
"URL","URL:"
"Use Proxy","Bruk Proxy"
"User","Bruker"
"VERBOSITY","VERBOSITY:"
"Voided transaction","Annullert transaksjon"
