"-- Please Select --","-- Vennligst velg --"
"Add New Class","Legg til ny klasse"
"Add New Tax Rate","Legg til ny momssats"
"Add New Tax Rule","Legg til ny momsregel"
"Apply Discount On Prices Including Tax","Legg til rabatt på priser inkl moms"
"Apply Tax After Discount","Legg til moms etter rabatt er lagt til"
"Apply Tax On","Legg til moms på"
"Are you sure you want to do this?","Er du sikker?"
"Back","Tilbake"
"CSV","CSV-type"
"Calculation","Kalkulering"
"Catalog prices include tax","Katalogpriser er inkludert moms"
"Class Name","Navn på klasse"
"Code","Kode"
"Country","Land"
"Country/Region/Postal code combination","Land/Region/Postkode (kombinasjon)"
"County","Fylke"
"Custom price if available","Egendefinert pris hvis tilgjengelig"
"Customer Tax Class","Momsklasse for kunde"
"Customer Tax Class Information","Momsklasse for kunde"
"Customer Tax Classes","Momsklasser for kunde"
"Default Country","Standard land"
"Default Post Code","Standard postkode"
"Default State","Standard fylke"
"Default Tax Origin Calculation","Standard opprinnelse for momskalkulasjon"
"Delete Class","Slett klasse"
"Delete Rate","Slett sats"
"Delete Rule","Slett regel"
"Display","Vis"
"Display Cart/Order Prices","Vis Handlekurv/Ordrepris"
"Display Product Prices","Vis produktpriser"
"Display Shipping Prices","Vis fraktkostnader"
"Display Zero Tax Subtotal","Vis subtotal dersom ingen moms"
"Display full tax summary","Vis fullt moms-sammendrag"
"Edit Class","Rediger klasse"
"Edit Class '%s'","Rediger klasse '%s'"
"Edit Rule","Endre regel"
"Edit Tax Rate","Endre momssats"
"Error while deleting this class. Please try again later.","Feil ved sletting av klasse. Prøv igjen senere."
"Error while deleting this rate. Incorrect rate ID","Feil ved sletting av momssats. Feil sats-ID"
"Error while deleting this rate. Please try again later.","Feil ved sletting av momssats. Prøv igjen senere."
"Error while deleting this tax rule. Please try again later.","Feil ved sletting av momsregel. Prøv igjen senere."
"Error while saving this rate. Please try again later.","Feil ved lagring av sats. Prøv igjen senere."
"Error while saving this tax class. Class with the same name ","Feil under lagring av denne momsklassen. Klasse med samme navn "
"Error while saving this tax class. Please try again later.","Feil ved lagring av momsklasse"
"Error while saving this tax rule. Please try again later.","Feil ved lagring av momsregel"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Feil under lagring av momsregel"
"Excl. Tax","Eksl. mva"
"Excl. Tax:","Eksl mva:"
"Excluding tax","Eksklusive mva"
"Export Tax Rates","Eksporter momssatser"
"Ignored when 'Apply Tax After Discount' option is enabled","Overse dersom 'Legg til moms etter rabatt' er Aktivert"
"Import / Export Tax Rates","Importere / eksportere momssatser"
"Import Tax Rates","Importer momssatser"
"Inc. Tax","Inkl. moms"
"Incl. Tax","Eksl. mva"
"Incl. Tax:","Inkl mva"
"Including and excluding tax","Inkludert og ekskludert mva"
"Including tax","Inkludert mva"
"Incorrect rate Data","Ukorrekt momssats-data"
"Invalid data for tax rate calculation","Ugyldig data for å beregne momssats"
"Invalid file format upload attempt","Ugyldig filformat for opplasting"
"Invalid file upload attempt","Ugyldig filopplasting"
"Manage Customer Tax Classes","Behandle momsklasser for kunder"
"Manage Product Tax Classes","Behandle momsklasser for produkter"
"Manage Tax Rates","Behandle momssatser"
"Manage Tax Rules","Behandle momsregler"
"Manage Tax Zones & Rates","behandle moms-soner og rater"
"Name","Navn"
"New Class","Ny klasse"
"New Rule","Ny regel"
"New Tax Rate","Ny momssats"
"None","Ingen"
"One of the country has invalid code.","Et av landene har en ugyldig kode."
"Original price only","Kun orginalpris"
"Please select Country","Velg land"
"Please select County","Velg fylke"
"Please select State","Velg kommune"
"Priority","Prioritet"
"Product Tax Class","Momsklasse for produkt"
"Product Tax Class Information","Momsklasse for produkt"
"Product Tax Classes","Momsklasse for produkt"
"Rate","Kurs"
"Reset","Tilbakestill"
"Sales","Salg"
"Save Class","Lagre klasse"
"Save Rate","Lagre momssats"
"Save Rule","Lagre regel"
"Shipping prices include tax","Fraktpriser inkludert mva"
"Sort Order","Sorteringsrekkefølge"
"State","Stat"
"State/Region","Fylke/Region"
"Tax","Moms"
"Tax Based On","Moms basert på"
"Tax Class for Shipping","Momsklasse for frakt"
"Tax Classes","Momsklasser"
"Tax Identifier","Momsidentifikasjon"
"Tax Rate","Momssats"
"Tax Rate Information","Informasjon om momssats"
"Tax Rule Information","Informasjon om momsregel"
"Tax Rules","Momsregler"
"Tax Section","Moms-seksjon"
"Tax Titles"," Mva-titler"
"Tax class was successfully deleted","Momsklasse ble slettet"
"Tax class was successfully saved","Momsklasse ble lagret"
"Tax rate was successfully deleted","Momssats ble slettet"
"Tax rate was successfully imported","Momssats ble importert"
"Tax rate was successfully saved","Momssats ble lagret"
"Tax rates at the same priority are added, others are compounded.","Momsklasser med samme prioritet legges til."
"Tax rule was successfully deleted","Momsregel ble slettet"
"Tax rule was successfully saved","Momsregel ble lagret"
"This class no longer exists","Denne klassen eksisterer ikke lenger"
"This rule no longer exists","Regelen eksisterer ikke"
"XML","XML-format"
"You cannot delete this tax class as it is used for %d customer groups.","Du kan ikke slette denne momsklassen da den er i bruk i %d kundegrupper."
"You cannot delete this tax class as it is used for %d products.","Du kan ikke slette denne momsklassen da den er i bruk på %d produkter."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Du kan ikke slette denne momsklassen da den er i bruk i en eller flere momsregler. Du må først slette reglene før du kan slette klassen."
"Zip/Post Code","Postnummer"
