"Actions","Handlinger"
"Active","Aktivert"
"Add New Rule","Legg til ny regel"
"Apply","Bruk"
"Apply the rule only if the following conditions are met (leave blank for all products)","Bruk regel kun dersom følgende betingelser er oppfylt (la være blank for alle produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Bruk regel kun på varer som oppfyller følgende betingelser (la være blank for alle varer)"
"Apply the rule to cart items matching the following conditions","Bruk regel på varer som oppfyller følgende betingelser"
"Apply to","Gjelder"
"Buy X get Y free (discount amount is Y)","Kjøp X få Y gratis (rabattbeløp er Y)"
"By Fixed Amount","Med fast beløp"
"By Fixed value","Med fast beløp"
"By Percentage","Med prosent"
"By Percentage of the original price","Med prosent av opprinnelig pris"
"Cart Attribute","Attributt for handlekurv"
"Catalog","Katalog"
"Conditions","Betingelser"
"Conditions combination","Kombinasjon av betingelser"
"Coupon Code","Rabattkode"
"Coupon code","Rabattkode"
"Customer Groups","Kundegrupper"
"Customer is new buyer: %s","Kunden er en ny kjøper: %s"
"Customer registered: %s","Kunde registrert: %s"
"Date Expire","Utløpsdato"
"Date Start","Startdato"
"Delete Rule","Slett regel"
"Description","Beskrivelse"
"Description: %s","Beskrivelse: %s"
"Discount Qty Step (Buy X)","Steg ved kvantumsrabatt (kjøp X)"
"Discount amount","Rabattbeløp"
"Edit Rule","Endre regel"
"Edit Rule '%s'","Endre regel '%s'"
"Expire at: %s","Utløper: %s"
"Fixed amount discount","Fast rabattbeløp"
"Fixed amount discount for whole cart","Fast rabattbeløp for hele handlekurven"
"For matching items only","Kun for like varer"
"For shipment with matching items","I forsendelse med like varer"
"Free shipping","Gratis frakt"
"From Date","Fra dato"
"General Information","Generell informasjon"
"ID","ID:"
"Inactive","Inaktiv"
"Maximum Qty Discount is Applied to","Anvend rabatt hvis antall er under"
"NOT LOGGED IN","IKKE LOGGET INN"
"Name: %s","Navn: %s"
"New Rule","Ny regel"
"No","Nei"
"Payment Method","Betalingsmetode"
"Percent of product price discount","Prosentvis rabatt av produktpris"
"Price in cart","Pris i handlekurv"
"Priority","Prioritet"
"Product attribute combination","Produktattributt-kombinasjon"
"Products subselection","Products subselection"
"Promotions","Kampanjer og tilbud"
"Public In RSS Feed","RSS-feed for tilhørighet"
"Quantity in cart","Antall i handlekurv"
"Row total in cart","Antall rader i handlekurv"
"Rule Information","Informasjon om regel"
"Rule Name","Regelnavn"
"Rule was successfully deleted","Regelen ble slettet"
"Rule was successfully saved","Regelen ble lagret"
"Save Rule","Lagre regel"
"Shipping Country","Land for levering"
"Shipping Method","Leveringsmetode"
"Shipping Postcode","Postnummer for levering"
"Shipping Region","Region for levering"
"Shipping State/Province","Leveringsadresse"
"Shopping Cart Price Rule","Prisregel for handlekurv"
"Shopping Cart Price Rules","Prisregler for handlekurv"
"Special price","Kampanjepris"
"Start at: %s","Start den: %s"
"Status","Status"
"Stop further rules processing","Stopp videre regelprosessering"
"Subtotal","Delsum"
"The page you are trying to save no longer exists","Siden eksisterer ikke lenger"
"This rule no longer exists","Regelen eksisterer ikke"
"To Date","Til dato"
"To Fixed Amount","Til fast beløp"
"To Fixed Value","Til fast verdi"
"To Percentage","Til prosent"
"To Percentage of the original price","Til prosent av opprinnelig pris"
"Total Items Quantity","Totalt antall"
"Total Weight","Total vekt"
"Unable to find a page to delete","Kunne ikke finne en side å slette"
"Update prices using the following information","Oppdater priser basert på følgende informasjon"
"Update product's %s %s: %s","Oppdater produktets %s %s: %s"
"Update the Product","Oppdater produktet"
"Uses per coupon","Anvendelser per rabattkode"
"Uses per customer","Anvendelser per kunde"
"Yes","Ja"
