"(eg: domain.com/identifier)","(f.eks.: domain.com/identifikator)"
"Action","Handling"
"Add New Block","Legg til ny blokk"
"Add New Page","Legg til ny side"
"All countries","Alle land"
"Block Information","Blokkinformasjon"
"Block Title","Blokktittel"
"Block was successfully deleted","Blokken ble slettet"
"Block was successfully saved","Blokken ble lagret"
"CMS","Tekstsider"
"CMS Home Page","Hovedside"
"CMS No Route Page","Siden finnes ikke (CMS)"
"Content","Innhold"
"Custom Design","Tilpasset design"
"Custom Theme","Tilpasset tema"
"Custom Theme From","Tilpasset tema fra"
"Custom Theme To","Tilpasset tema til"
"Customer Tax Class Information","Momsklasse for kunde"
"Date Created","Opprettet"
"Delete Block","Slett blokk"
"Delete Page","Slett side"
"Description","Beskrivelse"
"Disabled","Deaktivert"
"Edit Block","Rediger blokk"
"Edit Block '%s'","Rediger blokk '%s'"
"Edit Page","Rediger side"
"Edit Page '%s'","Rediger side '%s'"
"Enabled","Aktivert"
"General Information","Generell informasjon"
"Go to Home Page","Gå til hovedside"
"Home","Hjem"
"Identifier","Identifikator"
"Keywords","Nøkkelord"
"Last Modified","Sist endret"
"Layout","Sideoppsett"
"Layout Update XML","XML for oppdatering av sideoppsett"
"Manage Pages","Behandle sider"
"Meta Data","Metadata"
"Meta Description","Metabeskrivelse"
"Meta Keywords","Metanøkkelord"
"New Block","Ny blokk"
"New Page","Ny side"
"Page Identifier cannot consist only of numbers.","Sideidentifikator kan ikke bare bestå av tall."
"Page Identifier for specified store already exist.","En tilsvarende sideidentifikator finnes allerede for denne butikken."
"Page Information","Sideinformasjon"
"Page Status","Sidestatus"
"Page Title","Sidetittel"
"Page was successfully deleted","Siden ble slettet"
"Page was successfully saved","Siden ble lagret"
"Poll Manager","Avstemninger"
"Product Tax Class Information","Momsklasse for produkt"
"SEF URL Identifier","Søkemotorvennlig URL"
"Save Block","Lagre blokk"
"Save Page","Lagre side"
"Show breadcrumbs for CMS pages","Vis hurtignavigering for innholdssider"
"Static Blocks","Statiske blokker"
"Status","Status"
"Store View","Butikkvisning"
"Such a block identifier in selected store already exist.","En tilsvarende blokkidentifikator finnes allerede for denne butikken."
"The page you are trying to save no longer exists","Siden eksisterer ikke lenger"
"This block no longer exists","Blokken eksisterer ikke lenger"
"This page no longer exists","Siden eksisterer ikke lenger"
"Title","Tittel"
"Unable to find a block to delete","Fant ingen blokk for sletting"
"Unable to find a page to delete","Kunne ikke finne en side å slette"
