"%d Review(s)","%d omtale(r)"
"%s Review(s)","%s omtale(r)"
"(Posted on %s)","(Sendt inn %s)"
"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Review","Legg til omtale"
"Add Your Review","Legg til omtale"
"Administrator","Admin"
"All Reviews","Alle omtaler"
"All reviews of customer `%s`","Alle omtaler av kunde `%s`"
"Allow guests to write reviews","Tillatt gjester å skrive omtaler"
"Are you sure you want to do this?","Er du sikker?"
"Are you sure?","Er du sikker?"
"Average Customer Rating","Gjennomsnittlig kundevurdering"
"Average Customer Rating:","Gjennomsnittlig kundevurdering:"
"Back","Tilbake"
"Back to Main Product Info","Tilbake til produktbeskrivelse"
"Back to My Reviews","Tilbake til Mine omtaler"
"Back to Product Reviews","Tilbake til produktomtaler"
"Be the first to review this product","Bli den første som omtaler dette produktet"
"Created On","Opprettet"
"Customer","Kunde"
"Customer Reviews","Omtaler fra kunder"
"Delete","Slett"
"Delete Review","Slett omtale"
"Detailed Rating","Detaljert vurdering"
"Edit Review '%s'","Rediger omtale '%s'"
"Guest","Gjest"
"How do you rate this product?","Hvordan vurderer du dette produktet?"
"ID","ID:"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Mine produktomtaler"
"My Recent Reviews","Mine siste omtaler"
"Name","Navn"
"Name In Store","Navn i butikk"
"New Review","Ny omtale"
"Nickname","Nick"
"Pending Reviews","Ventende omtaler"
"Pending reviews","Omtaler som venter"
"Pending reviews of customer `%s`","Omtaler som venter fra `%s`"
"Please select a product","Velg et produkt"
"Please select one of each of the ratings above","Velg en karakter under hver kategori over"
"Posted By","Sendt inn av"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnavn"
"Product Rating","Produktvurdering"
"Product Rating:","Produktvurdering:"
"Product Review (submitted on %s):","Produktomtale (sendt inn %s):"
"Product Reviews","Produktomtaler"
"Product SKU","Varekode"
"Qty","Antall"
"Rating:","Vurdering:"
"Review","Omtale"
"Review Details","Produktomtale"
"Review by %s","Omtale av %s"
"Reviews and Ratings","Omtaler og rangeringer"
"SKU","Varekode"
"Save Review","Lagre omtale"
"Status","Status:"
"Submit Review","Send omtale"
"Summary Rating","Samlet vurdering"
"Summary of Review","Sammendrag av omtalen"
"Summary of Your Review","Sammendrag av omtalen"
"Summary of review","Sammendrag av omtalen"
"Title","Tittel"
"Type","Type:"
"Unable to post review. Please, try again later.","Kunne ikke lagre omtalen"
"Update status","Oppdater status"
"View All Reviews","Vis alle omtaler"
"View Details","Vis detaljer"
"Visible In","Synlig i"
"Websites","Websider"
"Write Your Own Review","Skriv din egen omtale"
"You have submitted no reviews.","Du har ikke skrevet noen omtaler."
"You're reviewing: %s","Du omtaler nå: %s"
"Your Rating:","Din vurdering:"
"Your Review (submitted on %s):","Din omtale (sendt inn %s):"
"Your review has been accepted for moderation","Omtalen din er akseptert for moderering"
"OR","ELLER"
"My Product Reviews","My Product Reviews"
