"%s already exist","%s eksisterer allerede"
"%s already exists","%s eksisterer allerede"
"-- Please Select --","-- Vennligst velg --"
"Add Block Names to Hints","Legg til Block navn på hint"
"Add Secret Key to URLs","Legg til hemmelig nøkkel på URLer"
"Add Store Code to Urls","Legg butikk-kode til i URL"
"Admin","Kontrollpanel"
"Admin Base URL","Kontrollpanel Base URL"
"Admin User Emails","Kontrollpanel epost-adresser"
"Advanced","Avansert"
"Allow countries","Tillatte land"
"Allowed IPs (comma separated)","Tillatte IP-er (kommaseparert)"
"Are you sure?","Er du sikker?"
"Back","Tilbake"
"Backup options","Alternativer for backup"
"Base JavaScript URL","URL til Javascript"
"Base Link URL","Link URL (Base)"
"Base Media URL","URL til mediafiler"
"Base Skin URL","URL til stiler (skins)"
"Base URL","Base URL"
"Before modifying the store view code please make sure that it is not used in index.php","Før kode for butikkvisning endres, se til at den ikke benyttes i index.php"
"Before modifying the website code please make sure that it is not used in index.php","Før kode for nettsted endres, se til at den ikke benyttes i index.php"
"Block with name ""%s"" already exists","En blokk med navnet ""%s"" finnes allerede"
"Blocks HTML output","Block HTML output"
"Can't retrieve request object","Kan ikke hente objekt"
"Can't retrieve entity config: %s","Kan ikke hente konfigurasjon: %s"
"Cancel","Avbryt"
"Cannot Delete Email Template","Kan ikke slette epost-mal"
"Cannot complete this operation from non-admin area.","Kan ikke fullføre operasjonen utenfor Admin-panelet."
"Category object is required for determining product request path","Category object is required for determining product request path."
"Code","Kode"
"Collections Data","Samling av data"
"Configuration","Konfigurasjon"
"Controller file was loaded but class does not exist","Kontrollfilen ble lastet men klassen eksisterer ikke"
"Cookie Domain","Domene for informasjonskapsler"
"Cookie Lifetime","Levetid for informasjonskapsler"
"Cookie Path","Sti for informasjonskapsler"
"Copyright","(C)Copyright"
"Countries options","Alternativer for land"
"Create Store","Opprett butikk (Store)"
"Create Store View","Opprett butikkvisning (StoreView)"
"Create Website","Opprett nettsted (Website)"
"Current package name","Gjeldende pakkenavn"
"Custom Design","Tilpasset design"
"Custom admin URL","Egendefinert admin URL"
"Custom email 1","Tilpasset epost 1"
"Custom email 2","Tilpasset epost 2"
"Customer support","Kundestøtte"
"Date From","Fra-dato"
"Date To","Til-dato"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" er ikke støttet."
"Debug","Feilsøking"
"Default","Standard"
"Default Description","Standard beskrivelse"
"Default Keywords","Standard Keywords"
"Default Pages","Standardsider"
"Default Robots","Standard Robots"
"Default Store","Standard butikk (Store)"
"Default Store View","Standard butikkvisning (StoreView)"
"Default Title","Standard  tittel"
"Default country","Standard land"
"Default no-route url","Standard ""Side ikke funnet"" URL"
"Default web url","Standard web-URL"
"Delete","Slett"
"Delete Store","Slett butikk (Store)"
"Delete Store View","Slett butikkvisning (StoreView)"
"Delete Website","Slett nettsted (Website)"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.) but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Utseende"
"Design Change","Endring av utseende"
"Developer","Utvikler"
"Developer Client Restrictions","Begrensninger for utviklingsklient"
"Disable email communications","Deaktiver epost-kommunikasjon"
"Disable modules output","Deaktiver rapportering for moduler"
"Duplicate Of Template Code","Duplikat av malkode"
"Edit Design Change","Rediger designendring"
"Edit Store","Rediger butikk (Store)"
"Edit Store View","Endre butikkvisning"
"Edit Website","Endre nettsted"
"Empty identifier field name","Tomt identifikasjonsfeltnavn"
"Empty main table name","Tomt hovedtabellnavn"
"Enabled","Aktivert"
"Enabled for Admin","Aktivert for Admin"
"Enabled for Frontend","Aktivert for Frontend"
"Error in file: ""%s"" - %s","Feil i fil: ""%s"" - %s"
"Error while saving. Please try again later.","Feil under lagring. Prøv igjen senere."
"Error: Passwords do not match","Feil: Passordene mathcer ikke"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","Første dag i uken"
"Footer","Footer (nederst på siden)"
"Forgot Password Email Sender","Avsender for ""Glemt passord""-epost"
"Forgot Password Email Template","Mal for ""Glemt passord""-epost"
"General","Land og språk"
"General Settings","Generelle innstillinger"
"General contact","Generelle henvendelser"
"Global","Globalt"
"HTML Head","HTML Heading"
"Header","Header"
"Host","Server"
"Id path for specified store","ID-sti for valgt butikk"
"Incorrect credit card expiration date","Ugyldig utløpsdato"
"Invalid base url type","Ugyldig base-URL type"
"Invalid block name to set child %s: %s","Ugyldig blokknavn for barn %s: %s"
"Invalid block type: %s","Ugyldig blokktype: %s"
"Invalid block: %s","Ugyldig blokk: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Ugyldig argument for oppdatering av sideoppsett, forventet Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Ugyldig handle for oppdatering av sideoppsett"
"Invalid messages storage ""%s"" for layout messages initialization","Ugyldig meldingslager ""%s"" for initialisering av meldinger for sideoppsett"
"Invalid transactional email code: ","Ugyldig epost-kode: "
"Invalid websites configuration path: %s","Ugyldig konfigurasjonssti for nettsted: %s"
"Layout","Sideoppsett"
"Layouts","Layout"
"Leave empty for access from any location","La stå tomt for tilgang fra alle lokasjoner"
"Locale","Lokaltilpasning"
"Locale options","Regionale innstillinger"
"Log Settings","Innstillinger for logging"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging fra Mage::log(). Filen finnes her: {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging fra Mage::logException(). Filen finnes her: {{base_dir}}/var/log"
"Logo Image Alt","Logo Bilde Alt-tekst"
"Logo Image Src","Logo Bilde Src"
"Manage Stores","Behandle butikker"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration"
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous scripts","Diverse scripts"
"Model class does not exist: %s","Modellklassen eksisterer ikke: %s"
"Model collection resource name is not defined","Modellens samlingsressursnavn er ikke definert"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" cant be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" require module ""%2$s"""
"Name","Navn"
"New Design Change","Ny designendring"
"New Store","Ny butikk (Store)"
"New Store View","Ny butikkvisning (StoreView)"
"New Website","Nytt nettsted (Website)"
"No","Nei"
"Package","Pakke"
"Please choose to register or to checkout as a guest","Registrer deg eller sjekk ut som gjest"
