"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s ble lagt til i ønskelisten. Klikk <a href=""%2$s"">her</a> for å fortsette å handle."
"%s's Wishlist","%s's ønskeliste"
"* Required Fields","* Obligatoriske felt"
"Add All to Cart","Legg alle i handlekurven"
"Add to Cart","Legg i handlekurven"
"Add to Wishlist","Legg i ønskelisten"
"Added On","Lagt til"
"Are You sure?","Er du sikker?"
"Are you sure you want to remove this product from your wishlist?","Er du sikker på at ud vil fjerne produktet fra ønskelisten?"
"Are you sure you would like to remove this item from the wishlist?","Er du sikker på at du vil fjerne varen fra ønskelisten?"
"Back","Tilbake"
"Can't save description %s","Kan ikke lagre beskrivelse %s"
"Cannot create wishlist","Kunne ikke opprette ønskeliste"
"Cannot specify product","Kunne ikke spesifisere produkt"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Merk av her dersom du ønsker å legge til en link til en RSS-feed av din ønskeliste."
"Comment","Kommentar"
"Email Sender","Epost-avsender"
"Email Template","Mal for e-post"
"Email address can't be empty.","Epost-adressen kan ikke være tom."
"Email addresses, separated by commas","Epost-adresser, kommaseparerte"
"Enabled","Aktivert"
"General Options","Generelle valg"
"Go to Wishlist","Gå til ønskelisten"
"Last Added Items","Produkter nylig lagt til"
"Message","Melding"
"My Wishlist","Min Ønskeliste"
"My Wishlist (%d item)","Min ønskeliste (%d vare)"
"My Wishlist (%d items)","Min ønskeliste (%d varer)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Oppgi gyldige e-postadresser, separert med komma. For eksempel ola@normann.no, kari@normann.no."
"Please, enter your comments...","Skriv eventuelle kommentarer..."
"Product","Produkt"
"RSS Feed","RSS-feed"
"RSS link to %s's wishlist","RSS-link til %s's ønskeliste"
"Remove Item","Fjern vare"
"Share Wishlist","Del ønskelisten"
"Share Your Wishlist","Del din ønskeliste"
"Share options","Alternativer for deling"
"Sharing Information","Informasjon om deling"
"There was an error while adding item to wishlist.","Det oppstod en feil ved innlegging av en vare i ønskelisten."
"There was an error while adding item to wishlist: %s","Det oppstod en feil ved innlegging av en vare i ønskelisten: %s"
"There was an error while deleting item from wishlist.","Det oppstod en feil ved sletting av en vare i ønskelisten."
"There was an error while deleting item from wishlist: %s","Det oppstod en feil ved sletting av en vare i ønskelisten: %s"
"This product(s) is currently out of stock:","Produktet er for øyeblikket ikke på lager:"
"Update Wishlist","Oppdater ønskelisten"
"View Product","Vis produkt"
"Wishlist","Ønskeliste"
"Wishlist Section","Ønskeliste seksjon"
"Wishlist Sharing","Deling av ønskeliste"
"Wishlist is empty now.","Ønskelisten er nå tom."
"You have no items in your wishlist.","Du har ingen varer i ønskelisten."
"You input not valid email address.","Dette er ikke en gyldig epost-adresse."
"Your Wishlist was successfully shared","Ønskelisten ble delt"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Min ønskeliste - <a href=""%s"">%d vare(r)</a>"
"My Wishlist","Min ønskeliste"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
