"Alert Email Sender","Avsender for e-postvarsling"
"Alert subscription was deleted successfully","Abonnement på varsling ble slettet"
"Alert subscription was saved successfully","Abonnement på varsling ble lagret"
"Allow alert when product comes back in stock","Tillatt varsling når produktet er på lager igjen"
"Allow alert when product price changes","Tillatt varsling når prisen på produktet endres"
"Click here not to receive alerts for this product","Klikk her for å stoppe varsling for dette produktet"
"Error Email Recipient","Epost-mottaker for feil"
"Error Email Sender","Epost-avsender for feil"
"Error Email Template","Epost-mal for feil"
"Frequency","Hyppighet"
"Not enough parameters","Mangler parametere"
"Please try again later","Prøv igjen senere"
"Price alert Email Template","Epost-mal for prisvarsler"
"Price:","Pris:"
"Product Alerts","Produktvarsling"
"Product Alerts Run Settings","Innstillinger for produktvarsling"
"Product alerts Cron error","Feil i Cronjobb for produktvarsling"
"Product not found","Fant ikke produkt"
"Product price alert","Prisvarsling for produkt"
"Product stock alert","Lagerstatusvarsling for produkt"
"Sign up for price alert","Bli varslet om prisendringer"
"Sign up to get notified when this product is back in stock","Bli varslet når varen er på lager igjen"
"Special price:","Kampanjepris:"
"Start Time","Starttidspunkt"
"Stock alert Email Template","Epost-mal for lageroppdateringer"
"Unsubscribe from all price alerts","Stopp all varsling om prisendringer"
"Unsubscribe from all stock alerts","Stopp all varsling om lagerstatusendringer"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Du mottar denne meldingen fordi du ba om å bli varslet når følgende produkt(er) er på lager igjen:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Du mottar denne meldingen fordi du ba om å bli varslet om prisendringer for følgene produkt(er):"
"You will no longer receive price alerts for this product","Du vil ikke lenger motta prisvarsler for dette produktet"
"You will no longer receive stock alerts","Du vil ikke lenger motta lageroppdateringer"
"You will no longer receive stock alerts for this product","Du vil ikke lenger motta lageroppdateringer for dette produktet"
