"Actions","Valg"
"Are you sure?","Er du sikker?"
"Date Added","Dato lagt til"
"Error while marking as read. Please try again later.","Feil ved markering som lest. Prøv igjen."
"Error while marking. Please try again later.","Feil ved markering. Prøv igjen."
"Error while removing. Please try again later.","Feil ved fjerning. Prøv igjen."
"Last update","Siste oppdatering"
"Mark as Read","Merk som lest"
"Mark as read","Merk som lest"
"Message","Melding"
"Message was successfully marked as read","Meldingen(e) ble markert som lest"
"Message was successfully removed","Meldingen(e) ble fjernet"
"Messages Inbox","Meldingsboks"
"Notifications","Meldinger"
"Please select messages","Velg melding"
"Read Details","Les detaljer"
"Remove","Fjern"
"Severity","Viktighet"
"Show List","Vis liste"
"Show Toolbar","Vis verktøylinje"
"Total of %d record(s) were successfully marked as read","Totalt %d meldinger ble markert som lest"
"Total of %d record(s) were successfully removed","Totalt %d meldinger ble fjernet"
"Unable to proceed. Please, try again","Kunne ikke fortsette. Prøv igen"
"Update frequency","Oppdateringsfrekvens"
"Use HTTPS to get feed","Bruk HTTPS for å hente feed"
"critical","kritisk"
"major","viktig"
"minor","mindre"
"notice","notis"
