"%s and greater","%s og høyere"
"Advanced Search","Avansert søk"
"All","Alle"
"Applies for ""Like"" Search type only","Applies for ""Like"" Søk kun basert på type"
"Apply Layered Navigation if search results are less than","Bruk Layered Navigation dersom søkeresultater er mindre enn"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attributt-innstillinger er endret. Kjør <a href=""%s"">Rebuild Search Index</a> prosess."
"Autogenerated site map","Automatisk generert sidekart"
"Catalog Advanced Search","Avansert katalogsøk"
"Catalog Search","Katalogsøk"
"Don't see what you're looking for?","Finner ikke det du leter etter?"
"Go","OK"
"Go to Home Page","Gå til hovedside"
"Grid","Rutenett"
"Home","Hjem"
"List","Liste"
"Maximum Query Length","Maks lengde"
"Maximum Query Words Count","Maks antall ord"
"Maximum Search query  length is %s. Your query was cut.","Maksimal lengde er %s. Søket ble automatisk justert."
"Minimal Query Length","Minimum søkelengde"
"Modify your search","Endre ditt søk"
"No","Nei"
"No items were found using the following search criteria.","Fant ingen artikler basert på angitte søkekriterier."
"Please enter ""0"" to enable layered navigation for any number of results","Skriv ""0"" for å aktivere Layered navigation"
"Popular Search Terms","Populære søkefraser"
"Popular search terms","Populære søkefraser"
"Relevance","Relevans"
"Required Fields","Obligatoriske felt"
"Results","Resultater"
"Search","Søk"
"Search Settings","Innstillinger for søk"
"Search Site","Søk i nettsted"
"Search Terms","Søkefraser"
"Search Type","Søketype"
"Search entire store here...","Søk på varekode eller beskrivelse.."
"Search results for '%s'","Søkeresultater for '%s'"
"Search results for: '%s'","Søkeresultater for: '%s'"
"Subscribe to Feed","Abonner på feed"
"There are no search terms available.","Ingen søkefraser tilgjengelig."
"Yes","Ja"
"You have to specify at least one search term","Du må spesifisere minst ett søkeord"
"Your search returns no results.","Søket ditt ga ingen treff."
"up to %s","opp til %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d vare(r)</strong> ble funnet på følgende søkeord"
"Is product available for purchase with Google Checkout","Er produktet tilgjengelig for kjøp med Google Checkout"
"Advanced Search","Avansert søk"
"Search Terms","Søkeord"
"Popular Search Terms","Populære søkeord"
"There are no search terms available.","Det er ingen søkeord tilgjengelige."
