"ALL","ALLE"
"ANY","NOEN"
"Add","Legg til"
"Apply","Bruk"
"Description: %s","Beskrivelse: %s"
"Expire at: %s","Utløper: %s"
"FALSE","USANN"
"If %s of these conditions are %s:","Hvis %s av disse betingelsene er %s:"
"Invalid discount amount.","Ugyldig rabattbeløp."
"MATCHING ALL","MATCHER ALLE"
"MATCHING ANY","MATCHER HVASOMHELST"
"NOT MATCHING ALL","MATHCER IKKE ALLE"
"NOT MATCHING ANY","MATHCER IKKE HVASOMHELST"
"Name: %s","Navn: %s"
"Open Chooser","Åpne velger"
"Perform following actions","Utfør følgende handlinger"
"Please choose a condition to add...","Velg en betingelse som skal legges til"
"Please choose an action to add...","Velg en handling som skal legges til"
"Remove","Fjern"
"Start at: %s","Start den: %s"
"TRUE","SANN"
"by","av"
"contains","inneholder"
"does not contain","inneholder ikke"
"equals or greater than","er lik eller høyere enn"
"equals or less than","er lik eller lavere enn"
"greater than","høyere enn"
"is","er"
"is not","er ikke"
"is not one of","er ikke en av"
"is one of","er en av"
"less than","mindre enn"
"to","til"
