"Billing Information","Informação de Facturação"
"Change Payment Method","Alterar Método de Pagamento"
"Change Shipping Address","Alterar Endereço de Envio"
"Edit Shopping Cart","Editar Carrinho de Compras"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Itens no seu Carrinho de Compras"
"No shipping method required.","No shipping method required."
"PayPal Account","Conta Paypal"
"PayPal Email","Email Paypal"
"Payment Method","Método de Pagamento"
"Place an Order","Colocar Encomenda"
"Please select a shipping method...","Por favor seleccione um método de envio"
"Price","Preço"
"Product Name","Nome do Produto"
"Qty","Qt"
"Review Order","Rever Encomenda"
"Shipping Address","Endereço de Envio"
"Shipping Information","Informação de Envio"
"Shipping Method","Método de Envio"
"Sorry, no quotes are available for this order at this time.","Pedimos desculpa, mas de momento não existem câmbios disponíveis para esta encomenda."
"Submitting order information...","A enviar informação de encomenda..."
"Subtotal","Sub-total"
"Update Shipping Method","Actualizar Método de Envio"
"You will be redirected to PayPal website when you place an order.","Será redireccionado para o site da Paypal assim que colocar uma encomenda"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","O seu endereço de facturação será ignorado e será redireccionado para o site da Paypal"
