"Actions","Accións"
"Active","Activar"
"Add New Rule","Engadir unha nova regra"
"Apply Rules","Aplicar regras"
"Attribute Set","Conxunto de atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de prezo do catálogo"
"Catalog Price Rules","Regras de prezo do catálogo"
"Category","Categoría"
"Comments History","Histórico de Comentários"
"Conditions","Condicións"
"Conditions (leave blank for all products)","Condicións (deixar en branco para todos os produtos)"
"Conditions Combination","Combinación de condicións"
"Credit Memos","Notas de Crédito"
"Customer Groups","Grupos de clientes"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registado em: %s"
"Date Expire","Data de vencemento"
"Date From","Desde a data"
"Date Start","Data de inicio"
"Date To","Ata hoxe"
"Delete Rule","Eliminar regra"
"Description","Descrición"
"Description: %s","Descrición: %s"
"Edit Rule","Editar a regra"
"Edit Rule '%s'","Editar a regra '%s'"
"Expire at: %s","Vence o: %s"
"From Date","Desde a data"
"General Information","Información xeral"
"Gift Messages","Mensagens de Presente"
"ID","ID"
"Inactive","Inactivo"
"Invoices","Facturas"
"NOT LOGGED IN","NON INICIOU SESIÓN"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Non"
"Options","Opcións"
"Order Credit Memos","Notas de Crédito da Encomenda"
"Order Gift Messages","Mensagens de Presente Encomenda"
"Order History","Histórico de encomendas"
"Order Invoices","Facturas Encomenda"
"Order Shipments","Envios Encomenda"
"Priority","Prioridade"
"Product Attribute","Atributo do produto"
"Promotions","Promocións"
"Rule Information","Información da regra"
"Rule Name","Nome da regra"
"Rule was successfully deleted","Regra correctamente removida"
"Rule was successfully saved","A Regra foi correctamente guardada"
"Rules were successfully applied","As regras foram correctamente aplicadas"
"Save Rule","Gardar a regra"
"Save and Apply","Gardar e aplicar"
"Shipments","Envios"
"Start at: %s","Comezar en: %s"
"Status","Estado"
"Stop further rules processing","Parar processamento de regras"
"The page you are trying to save no longer exists","A página que está a tentar salvar não existe"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Esta regra já não existe"
"To Date","ata hoxe"
"Unable to apply rules","Incapaz de aplicar regras"
"Unable to find a page to delete","Não foi possível encontrar a página a remover"
"Update product's %s %s: %s","Actualizar %s do produto %s: %s"
"Websites","Sitios web"
"Yes","Si"
