"Action","Acción"
"All types","Todos os tipos"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","O ficheiro de cópia de segurança não existe"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Copias de seguridade"
"Cannot read backup file","Não é possível ler a cópia de segurança"
"Create Backup","Crear unha copia de seguridade"
"DB","BD"
"Database was successfuly backed up.","Fíxose unha copia de seguridade da base de datos."
"Download","Descargar"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Ficheiro comprimido com Zlib, mas a extensão não está instalada"
"Size, byte","Size, byte"
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Non é posible crear a copia de seguridade. Inténteo máis tarde."
"Wrong order of creation for new backup","Ordem de criação de cópia de segurança errada"
