"Abandoned carts","Carriños abandonados"
"Action","Acción"
"Add to Cart","Engadir ao carriño"
"Add to Compare","Engadir para comparar"
"Add to Wishlist","Engadir á lista de desexos"
"Applied Coupon","Cupón aplicado"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Máis vendidos"
"Bought from wishlists","Comprado desde a lista de desexos"
"CSV","CSV"
"Carrier/Method","Transportador/Método"
"Carts","Carriños"
"Coupons","Cupóns"
"Created at","Criado a"
"Customer","Cliente"
"Customer Name","Nome do cliente"
"Customer Tags","Etiquetas do cliente"
"Customers","Clientes"
"Customers Report","Informe de clientes"
"Customers Reviews","Valoracións dos clientes"
"Customers Tags","Etiquetas dos clientes"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que teñen lista de desexos: %s%"
"Day","Día"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Detalle"
"Discounts","Descontos"
"Downloads","Descargas"
"Email","Correo electrónico"
"Excel","Excel"
"First Name","Nome"
"Guest","Convidado"
"Hits","Visitas"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Facturado"
"Items Ordered","Itens encomendados"
"Items in Cart","Elementos no carriño"
"Last Name","Apelido"
"Last Review","Última revisión"
"Link","Ligazón"
"Low stock","Dispoñibilidade baixa"
"Month","Mes"
"Most Viewed","Máis visitados"
"Most viewed","Mais vistos"
"Name","Nome"
"New Accounts","Novas contas"
"Number Added","Número engadido"
"Number Fulfilled","Número cuberto"
"Number Of Historical Uses","Número Histórico  de Usos"
"Number Of Reviews","Número de valoracións"
"Number Of Uses","Número de utilizações"
"Number Purchased","Número de compra"
"Number Viewed","Número visto"
"Number of Items","Número de elementos"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Número de contas novas"
"Number of Orders","Número de Encomendas"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Número de valoracións"
"Number of Total Tags","Número total de etiquetas"
"Number of Unique Tags","Número de etiquetas únicas"
"Number of Views","Número de visualizacións"
"Number of items bought from a wishlist: %s","Número de elementos comprados desde a lista de desexos: %s"
"Number of times deleted","Número de remoções"
"Number of times wishlists have been shared (emailed): %s","Número de veces que se compartiu a lista de desexos (correo electrónico): %s"
"Number of wishlist conversions: %s","Número de conversións da lista de desexos: %s"
"Number of wishlist referrals: %s","Número de referencias da lista de desexos: %s"
"Number of wishlists: %s","Número de listas de desexos: %s"
"Offline Refunded","Reembolso offline"
"Online Refunded","Reembolso online"
"Orders","Pedidos"
"Out of stock","Esgotado"
"Poducts Report","Informe de produtos"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidade"
"Price","Prezo"
"Product Name","Nome do produto"
"Product Reviews","Valoracións do produto"
"Product Sku","SKU do produto"
"Product Tags","Etiquetas do produto"
"Products","Produtos"
"Products Report","Informe de produtos"
"Products Reviews","Valoracións dos produtos"
"Products Sold","Products Sold"
"Products Tags","Etiquetas dos produtos"
"Products in carts","Produtos nos carriños"
"Purchases","Compras"
"Quantity Ordered","Cantidade pedida"
"Quantity of Items","Cantidade de elementos"
"Rate","Rate"
"Recently Compared Products","Produtos comparados recentemente"
"Recently Viewed Products","Produtos vistos recentemente"
"Recently Viewed/Compared Products","Produtos comparados/vistos recentemente"
"Refunded","Reembolsado"
"Reports","Informes"
"Results","Resultados"
"Revenue","Ingresos"
"Review","Valoración"
"Reviews","Valoracións"
"Reviews for %s","Valoracións para %s"
"Sales","Vendas"
"Sales Report","Informe de vendas"
"Search Terms","Termos de busca"
"Shipping","Envío"
"Shopping Cart","Carriño da compra"
"Show for Current","Mostrar actual"
"Stock Qty","Cantidade dispoñible"
"Submitted In","Enviado en"
"Submitted On","Enviado en"
"Subtotal","Sub-total"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalles de etiqueta ""%s"""
"Tag Detail","Detalle de etiqueta"
"Tag Name","Nome de etiqueta"
"Tag use","Utilização da etiqueta"
"Tags submited by %s","Etiquetas submetidas por %s"
"Tags submitted to %s","Etiquetas enviadas para %s"
"Tax","Imposto"
"Tax Amount","Valor Imposto"
"Title","Título"
"Total","Total"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Total Reembolso"
"Total Shipping","Total Envio"
"Total Tags","Total de etiquetas"
"Total invoiced","Total facturado"
"Total refunded","Total reembolsado"
"Updated at","Actualizado em"
"Visible In","Visible en"
"Wishlist Report","Informe da lista de desexos"
"Wishlist vs. Regular Order","Lista de desexos fronte a pedido regular"
"Wishlists","Listas de desexos"
"Year","Ano"
"Your Recently Compared","As súas comparacións recentes"
"Your Recently Viewed","As súas visualizacións recentes"
