"ALL","TODO"
"ANY","ALGÚN"
"Add","Engadir"
"Apply","Aplicar"
"Description: %s","Descrición: %s"
"Expire at: %s","Caduca en: %s"
"FALSE","FALSO"
"If %s of these conditions are %s:","Se %s de estas condicións son %s:"
"Invalid discount amount.","O importe do desconto non é válido."
"MATCHING ALL","Coinciden todos"
"MATCHING ANY","Coincide algún"
"NOT MATCHING ALL","Non coinciden todos"
"NOT MATCHING ANY","Non coincide ningún"
"Name: %s","Nome: %s"
"Open Chooser","Abrir selector"
"Perform following actions","Realizar as seguintes accións"
"Please choose a condition to add...","Por favor, seleccione unha condición para engadir..."
"Please choose an action to add...","Por favor, escolla unha acción para engadir..."
"Remove","Eliminar"
"Start at: %s","Comezar en: %s"
"TRUE","VERDADEIRO"
"by","por"
"contains","contén"
"does not contain","non contén"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou inferior que"
"greater than","maior que"
"is","é"
"is not","non é"
"is not one of","non é un de"
"is one of","é un de"
"less than","menor que"
"to","para"
