"* Required Fields","* Campos requiridos"
"A new password was sent","Foi enviada uma nova palavra-passe"
"Account Dashboard","Panel da conta"
"Account Information","Información da conta"
"Account Sharing Options","Opcións para compartir a conta"
"Account information was successfully saved","A informação da conta foi guardada correctamente"
"Action","Acción"
"Add New Address","Engadir un novo enderezo"
"Add New Customer","Engadir un novo cliente"
"Add New Customer Group","Engadir un novo grupo de clientes"
"Added From","Engadido de"
"Additional Address Entries","Entradas de enderezos adicionais"
"Address","Enderezo"
"Address Book","Axenda de enderezos"
"Address Information","Información de enderezo"
"Addresses","Enderezos"
"Admin","Admin"
"All","Todo"
"All Store Views","Visualizacións de toda a tenda"
"All countries","Todos os países"
"Always optional","Always optional"
"Amount","Cantidade"
"Approved","Aprobado"
"Are you sure that you want to remove this item?","Está vostede seguro de que quere eliminar este elemento?"
"Are you sure you want to cancel adding of this address?","Está vostede seguro de que quere cancelar a adición deste enderezo?"
"Are you sure you want to delete this address?","Está vostede seguro de que quere eliminar este enderezo?"
"Are you sure?","Está seguro?"
"Array of Entity collections is expected","Lista de colecções de Entidades esperada"
"Assign a customer group","Definir um grupo de clientes"
"Average Sale","Media de venda"
"Back","Volver"
"Back to Login","Volver ao inicio de sesión"
"Bad request.","Solicitude incorrecta"
"Bill to Name","Facturar a nome"
"Billing Information","Informação de Facturação"
"Bought From","Comprado en"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao crear unha conta coa nosa tenda, vostede poderá moverse con maior rapidez a través dos procesos de confirmación de pedido, almacenar múltiples enderezos de envío, ver e seguir os seus pedidos na súa conta e moitas máis opcións."
"CSV","CSV"
"Can't save address","Não foi possível guardar o endereço"
"Can't save customer","Não foi possível guardar o cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Cancelar"
"Change Account Password","Cambiar o contrasinal da conta"
