"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s foi correctamente adicionado à sua Lista de Presentes. Clique <a href=""%2$s"">aqui</a> para continuar as compras"
"%s's Wishlist","Lista de desexos de %s"
"* Required Fields","* Campos requiridos"
"Add All to Cart","Engadir todo ao carriño"
"Add to Cart","Engadir ao carriño"
"Add to Wishlist","Engadir á lista de desexos"
"Added On","Engadido en"
"Are You sure?","Tem a certeza?"
"Are you sure you want to remove this product from your wishlist?","Está vostede seguro de que quere eliminar este produto da súa lista de desexos?"
"Are you sure you would like to remove this item from the wishlist?","Está seguro de que lle gustaría eliminar este elemento da lista de desexos?"
"Back","Volver"
"Can't save description %s","Non se pode gardar a descrición %s"
"Cannot create wishlist","Não foi possível criar a Lista de Presentes"
"Cannot specify product","Não foi possível especificar o produto"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Seleccione esta caixa de verificación se quere engadir unha ligazón a un rss para a súa lista de desexos."
"Comment","Comentario"
"Email Sender","Remitente do correo"
"Email Template","Modelo de correo"
"Email address can't be empty.","O enderezo de correo non pode estar baleiro."
"Email addresses, separated by commas","Os enderezos de correo separados por comas"
"Enabled","Activado"
"General Options","Opcións xerais"
"Go to Wishlist","Ir á lista de desexos"
"Last Added Items","Últimos elementos engadidos"
"Message","Mensaxe"
"My Wishlist","A miña lista de desexos"
"My Wishlist (%d item)","A miña lista de desexos (%d elemento)"
"My Wishlist (%d items)","A miña lista de desexos (%d elementos)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor, introduza enderezos de correo válidos separados por comas. Por exemplo, exemplo1@exemplo.com, exemplo2@exemplo.com."
"Please, enter your comments...","Por favor, introduza os seus comentarios..."
"Product","Produto"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Ligazón RSS á lista de desexos %s"
"Remove Item","Eliminar elemento"
"Share Wishlist","Compartir lista de desexos"
"Share Your Wishlist","Compartir a súa lista de desexos"
"Share options","Opções de partilha"
"Sharing Information","Información de compartir"
"There was an error while adding item to wishlist.","Ocorreu um erro ao adicionar o item da Lista de presentes."
"There was an error while adding item to wishlist: %s","Ocorreu um erro ao adicionar o item à sua lista de presentes: %s"
"There was an error while deleting item from wishlist.","Ocorreu um erro ao remover o item da Lista de presentes."
"There was an error while deleting item from wishlist: %s","Ocorreu um erro ao remover este item da lista de presentes: %s"
"This product(s) is currently out of stock:","Este(s) produto(s) estão actualmente indisponíveis"
"Update Wishlist","Actualizar a lista de desexos"
"View Product","Ver produto"
"Wishlist","Lista de desexos"
"Wishlist Section","Sección da lista de desexos"
"Wishlist Sharing","Compartir a lista de desexos"
"Wishlist is empty now.","Agora a lista de desexos está baleira."
"You have no items in your wishlist.","Non ten elementos na súa lista de desexos."
"You input not valid email address.","Não inseriu um endereço de email válido"
"Your Wishlist was successfully shared","A sua Lista de Presentes foi correctamente partilhada"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","A Minha Lista de Presentes"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
