"* Required Fields","* Campos obrigatórios"
"Add","Engadir"
"Add Gift Message","Adicionar Mensagem ao Presente"
"Allow Gift Messages for Order Items","Permitir mensaxes de regalo para os elementos de pedido"
"Allow Gift Messages on Order Level","Permitir mensaxes de regalo no nivel de pedido"
"Are you sure?","Está vostede seguro?"
"Cancel","Cancelar"
"Check this checkbox if you want to add gift messages to your items.","Marque este cadro se quere engadir mensaxes de regalo aos seus elementos."
"Check this checkbox if you want to add gift messages.","Marque este cadro se quere engadir mensaxes de regalo."
"Close","Fechar"
"Do you have any gift items in your order?","Ten elementos de regalo no seu pedido?"
"Edit","Editar"
"Edit Gift Message","Editar Mensagem do Presente"
"Enter a gift message for each item in your order.","Introduza unha mensaxe de regalo para cada elemento do seu pedido."
"Enter a gift message for entire order.","Introduza unha mensaxe de regalo para todo o pedido."
"Enter a gift message for this address.","Introduza unha mensaxe de regalo para este enderezo."
"Error while saving gift message","Erro ao guardar a mensagem do presente"
"From","De"
"Gift Message","Mensagem do presente:"
"Gift Messages","Mensaxes de regalo"
"Gift message has been successfully saved","A mensagem do presente foi guardada com sucesso"
"Item %d of %d","Elemento %d de %d"
"Message","Mensaxe"
"No","Non"
"Remove","Remover"
"Save","Guardar"
"Save Gift Message","Gardar mensaxe de regalo"
"To","A"
"Unknown entity type","Tipo de entidade descoñecido"
"Use config","Utilizar configuración"
"Yes","Si"
"You can leave a box blank if you don't wish to add a gift message for the item.","Pode deixar a caixa em branco se não deseja adicionar uma mensagem de presente ao item"
"You can leave a box blank if you don't wish to add a gift message for this address.","Pode deixar a caixa em branco se não deseja adicionar uma mensagem de presente ao endereço"
"You can leave a box blank if you don't wish to add a gift message for whole order.","Pode deixar a caixa em branco se não deseja adicionar uma mensagem de presente à encomenda"
"Your gift message has been successfully removed","A sua mensagem de presente foi correctamente removida"
"Your gift message has been successfully saved","A sua mensagem de presente foi correctamente guardada"
"Your gift message successfully removed","A sua mensagem de presente foi correctamente removida"
"Your gift message successfully saved","A sua mensagem de presente foi correctamente guardada"
