"Add New Row","Engadir unha nova fila"
"An error occurred while saving the file(s).","Produciuse un erro mentres se gardaba o(s) ficheiro(s)."
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Back","Volver"
"Can't connect to remote host, error: %s","Can't connect to remote host, error: %s"
"Canceled","Cancelado"
"Date","Data"
"Default Link Title","Título predeterminado da ligazón"
"Default Maximum Number of Downloads","Número máximo de descargas predeterminado"
"Default Sample Title","Título predeterminado de mostra"
"Disable Guest Checkout if cart contains downloadable items","Disable Guest Checkout if cart contains downloadable items"
"Downloadable Information","Información descargable"
"Downloadable Product","Produto descargable"
"Downloadable Product Options","Opcións de produto descargable"
"Downloadable product Section","Sección de produto descargable"
"Excl. Tax","Excl. Imposto"
"File","Ficheiro"
"File does not exists","File does not exists"
"From:","De:"
"Gift Message","Mensaxe de regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a <a href=""%s"">Os meus produtos descargables</a>"
"Guest checkout will only work with shareable","Guest checkout will only work with shareable"
"Incl. Tax","Incl. Imposto"
"Invalid download URL host","Invalid download URL host"
"Invalid download URL scheme","Invalid download URL scheme"
"Invalid download link type","Invalid download link type"
"Invoiced","Facturado"
"Link has expired.","Link has expired."
"Link is not available.","Link is not available."
"Links can be purchased separately","As ligazóns poden adquirirse por separado"
"Max. Downloads","Máx. Descargas"
"Message:","Mensaxe:"
"My Downloadable Products","Os meus produtos descargables"
"Open Links in New Window","Abrir as ligazóns nunha nova ventá"
"Order #","Pedido #"
"Order Item Status to enable Downloads","Order Item Status to enable Downloads"
"Ordered","Pedido"
"Pending","Pendente"
"Please log in to download your product.","Por favor, inicie sesión para descargar o seu produto."
"Please set resource file and link type","Please set resource file and link type"
"Please specify product link(s).","Por favor, especifique a ligazón ou ligazóns ao produto."
"Price","Prezo"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas restantes"
"Remove item","Remove item"
"Requested link doesn't exist.","Requested link doesn't exist."
"Sample","Mostra"
"Shareable","Compartible"
"Shipped","Enviado"
"Sorry, the was an error getting requested content. Please contact store owner.","Sorry, the was an error getting requested content. Please contact store owner."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Sorry, there was an error getting requested content. Please contact store owner."
"Sort Order","Orde de clasificación"
"Start Download","Comezar a descarga"
"Status","Estado"
"Title","Título"
"To:","A:"
"U","U"
"Unlimited","Ilimitado"
"View Order","Ver pedido"
"You have not purchased any downloadable products yet.","Vostede aínda non comprou ningún produto descargable."
"attachment","anexo"
"download","descarga"
"inline","en liña"
"sample","mostra"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
