"Actions","Accións"
"Active","Activo"
"Add New Rule","Engadir nova regra"
"Apply","Aplicar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra só se se cumprisen as seguintes condicións (deixar en branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra só aos elementos do carriño que cumpran as seguintes condicións (deixar en branco para todos os elementos)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra aos elementos que cumpran as seguintes condicións"
"Apply to","Aplicar a"
"Buy X get Y free (discount amount is Y)","Compre X e consiga gratis Y (a cantidade de desconto é Y)"
"By Fixed Amount","Por cantidade fixa"
"By Fixed value","Por valor fixo"
"By Percentage","Por porcentaxe"
"By Percentage of the original price","Por percentagem do preço original"
"Cart Attribute","Atributo do carriño"
"Catalog","Catálogo"
"Conditions","Condicións"
"Conditions combination","Combinación de condicións"
"Coupon Code","Código de cupón"
"Coupon code","Código Cupão"
"Customer Groups","Grupos de cliente"
"Customer is new buyer: %s","O cliente é un novo comprador: %s"
"Customer registered: %s","Cliente rexistrado: %s"
"Date Expire","Data de caducidade"
"Date Start","Data de inicio"
"Delete Rule","Eliminar regra"
"Description","Descrición"
"Description: %s","Descrición: %s"
"Discount Qty Step (Buy X)","Paso de cantidade de desconto (Comprar X)"
"Discount amount","Valor Desconto"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar a regra '%s'"
"Expire at: %s","Caduca en: %s"
"Fixed amount discount","Valor de desconto fixo"
"Fixed amount discount for whole cart","Valor do desconto fixo para todo o carriño"
"For matching items only","Só para os elementos que coinciden"
"For shipment with matching items","Para envíos con elementos coincidentes"
"Free shipping","Envio gratuito"
"From Date","A partir de (data)"
"General Information","Información xeral"
"ID","ID"
"Inactive","Inactivo"
"Maximum Qty Discount is Applied to","Quantidade máxima de desconto é aplicado a"
"NOT LOGGED IN","NON SE INICIOU SESIÓN"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Non"
"Payment Method","Método de pagamento"
"Percent of product price discount","Porcentaxe de desconto no prezo do produto"
"Price in cart","Prezo no carriño"
"Priority","Prioridade"
"Product attribute combination","Combinación de atributo de produto"
"Products subselection","Subselección de produtos"
"Promotions","Promocións"
"Public In RSS Feed","Público en Feed RSS"
"Quantity in cart","Cantidade no carriño"
"Row total in cart","Fila total no carriño"
"Rule Information","Información da regra"
"Rule Name","Nome da regra"
"Rule was successfully deleted","Regra correctamente removida"
"Rule was successfully saved","A Regra foi correctamente guardada"
"Save Rule","Gardar a regra"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código postal de envío"
"Shipping Region","Rexión de envío"
"Shipping State/Province","Estado/Provincia de envío"
"Shopping Cart Price Rule","Regra de prezos no carriño de compras"
"Shopping Cart Price Rules","Regras de prezos no carriño de compras"
"Special price","Preço especial"
"Start at: %s","Comezar en: %s"
"Status","Estado"
"Stop further rules processing","Parar processamento de regras"
"Subtotal","Sub-total"
"The page you are trying to save no longer exists","A página que está a tentar salvar não existe"
"This rule no longer exists","Esta regra já não existe"
"To Date","Ata a data"
"To Fixed Amount","Ata a cantidade fixa"
"To Fixed Value","Ata o valor fixo"
"To Percentage","Ata a porcentaxe"
"To Percentage of the original price","Para percentagem do preço original"
"Total Items Quantity","Cantidade total de elementos"
"Total Weight","Peso total"
"Unable to find a page to delete","Não foi possível encontrar a página a remover"
"Update prices using the following information","Actualizar os prezos usando a seguinte información"
"Update product's %s %s: %s","Actualizar %s %s do produto: %s"
"Update the Product","Actualizar o produto"
"Uses per coupon","Utilizações por cupão"
"Uses per customer","Utilizações por cliente"
"Yes","Si"
