"-- Please select --","-- Por favor, seleccione --"
"Allowed currencies","Moedas permitidas"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Não foi possível obter a taxa de %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country Api","Api do país"
"Country and Format Type combination should be unique","A combinación do país e do tipo de formato deben ser únicas"
"Currency","Moeda"
"Currency Options","Opcións de moeda"
"Currency Setup","Configuración de moeda"
"Currency Update Warnings","Avisos de actualización de moeda"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Mostrar moeda por omissão"
"Directory","Directorio"
"Enabled","Activado"
"Error Email Recipient","Destinatario do correo de erro"
"Error Email Sender","Remitente do correo de erro"
"Error Email Template","Modelo de correo de erro"
"FATAL ERROR:","ERRO MOI GRAVE:"
"Frequency","Frecuencia"
"Installed Currencies","Moedas instaladas"
"Invalid Import Service Specified","Serviço de importação especificado inválido"
"Invalid country code: %s","O código do país non é válido: %s"
"Invalid rates received","As taxas recibidas non son válidas"
"Invalid target currency","Moeda especificada inválida"
"List of countries","Lista de países"
"List of regions in specified country","Lista de rexións do país seleccionado"
"Region","Rexión"
"Region Api","Api da rexión"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Configuracións de importación programadas"
"Select Your Currency","Seleccione a súa moeda"
"Service","Servizo"
"Start Time","Hora de inicio"
"State/Province","Estado/Provincia"
"Strikeiron Email Update Warnings","Avisos de actualización de correo Strikeiron"
"Unable to initialize import model","Incapaz de iniciar o modelo de importação"
"Undefined rate from ""%s-%s""","Taxa indefinida de ""%s-%s"""
"WARNING:","AVISO:"
"Webservicex","Webservicex"
"Your current currency is: %s","A súa moeda actual é: %s"
