" and "," e "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta absoluta ou relativa á raíz de instalación de Magento, ex. var/export)"
"(For US 2-letter state names)","(Para os nomes de estado de dúas letras dos EEUU)"
"(If left empty will be auto-generated)","(Se se deixa baleiro xerarase automaticamente)"
"(Leave empty for first spreadsheet)","(Deixar baleiro para a primeira folla de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Engadiranse/actualizaranse os produtos nesta tenda se a columna 'tenda' está baleira ou falta no ficheiro de importación.)"
"(Shift-)Click or drag to change value","(Maiús-)Prema ou arrastre para cambiar o valor"
"(Starting with)","(Comezando con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cando 'Non', só se importarán os campos mapeados. Cando mapee, use 'columna1', 'columna2' etc.)"
"(You have to increase php memory_limit before changing this value)","(Ten que aumentar o memory_limit de php antes de cambiar o valor)"
"(\t for tab)","(t para separador)"
"- Click on any of the time parts to increase it","- Prema nalgunha das partes de tempo para aumentalo"
"- Hold mouse button on any of the above buttons for faster selection.","- Manteña premido o botón do rato sobre algún dos botóns de arriba para unha selección máis rápida."
"- Use the %s buttons to select month","- Utilice os botóns %s para seleccionar mes"
"- Use the %s, %s buttons to select year","- Utilice %s, os botóns %s para seleccionar ano"
"- or Shift-click to decrease it","- ou Maiús-clic para diminuílo"
"- or click and drag for faster selection.","- ou prema e arrastre para unha selección máis rápida."
"API:","API:"
"About the calendar","Sobre o calendario"
"Access Denied.","Access Denied."
"Account Created in:","Conta creada en:"
"Account Created on (%s):","Conta creada no (%s):"
"Account Created on:","Conta creada no:"
"Action","Acción"
"Actions","Accións"
"Add","Add"
"Add Contents Path","Engadir ruta de contidos"
"Add Field with URL:","Engadir campo con URL:"
"Add Maintainer","Add Maintainer"
"Add New Role","Engadir novo rol"
"Add New Template","Add New Template"
"Add New User","Engadir novo usuario"
"Add PHP Extension dependency","Engadir dependencia de extensión de PHP"
"Add Package dependency","Engadir dependencia de paquete"
"Add Subpackage dependency","Add Subpackage dependency"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","Tipo de enderezo:"
"All","Todos"
"All Websites","Todos os sitios web"
"All fields","Todos os campos"
"Archive file name:","Nome do ficheiro de arquivo:"
"Are you sure that you want to delete this template?","Está seguro de que quere eliminar este modelo?"
"Are you sure that you want to strip tags?","Está seguro de que quere eliminar as etiquetas?"
"Attribute Set Name:","Nome de conxunto de atributos:"
"Attributes","Atributos"
"Available Products","Produtos dispoñibles"
"Big Image","Imaxe grande"
"Billing Address","Enderezo de facturación"
"Bundle Items","Paquete de elementos"
