"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s elemento(s)"
"(Copy data from: %s)","(Copiar datos desde: %s)"
"(Will make search for the query above return results for this search.)","(Fará que buscar a consulta superior devolva resultados para esta busca.)"
"* Required Fields","* Campos obrigatorios"
"-- Please Select --","-- Por favor, seleccione --"
"A name is required","Precísase un nome"
"ALL GROUPS","TODOS OS GRUPOS"
"AM","AM"
"Action","Acción"
"Add Attribute","Engadir atributo"
"Add Design Change","Engadir cambio de deseño"
"Add Group","Engadir grupo"
"Add Items to Cart","Adicionar itens ao Carrinho"
"Add New","Engadir novo"
"Add New Attribute","Engadir novo atributo"
"Add New Attribute Set","Engadir novo conxunto de atributos"
"Add New Group","Engadir novo grupo"
"Add New Images","Engadir novas imaxes"
"Add New Option","Engadir nova opción"
"Add New Row","Engadir unha nova fila"
"Add New Search Term","Engadir un novo termo de busca"
"Add New Set","Engadir novo grupo"
"Add Option","Adicionar opção"
"Add Product","Engadir produto"
"Add Product To Websites","Engadir produto ao sitio web"
"Add Root Category","Engadir categoría de ruta"
"Add Subcategory","Engadir subcategoría"
"Add Tax","Engadir imposto"
"Add Tier","Engadir capa"
"Add to Cart","Engadir ao carriño"
"Add to Compare","Engadir para comparar"
"Add to My Wishlist","Adicionar à minha Lista de Presentes"
"Add to Wishlist","Engadir á lista de desexos"
"Additional Information","Información adicional"
"All","Todos"
"All Product Types","Todos os tipos de produto"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Eliminaranse todos os produtos deste conxunto! Está seguro de que quere borrar este conxunto?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Extensións de ficheiro permitidas"
"Allowed file extensions to upload","Extensións de ficheiro para subir permitidas"
"Amount","Amount"
"Apply To","Aplicar a"
"Apply To Configurable/Grouped Product","Aplicar a Configurável/Grupo de produtos"
"Approved","Aprobado"
"Are you sure you want to delete this category?","Está seguro de que quere eliminar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","Está seguro de que quere eliminar todos os produtos da comparativa?"
"Are you sure you would like to remove this item from the compare products?","Tem a certeza que deseja remover este item da sua lista de comparação?"
"Are you sure?","Está vostede seguro?"
"As low as:","Tan baixo como:"
"Assign","Asignar"
"Assign product link","Asignar ligazón do produto"
"Assign product to category","Asignar produto á categoría"
"Assigned Products","Produtos asignados"
"Associated Products","Produtos asociados"
"Attrib. Set Name","Nome de conxunto de atributos"
"Attribute Code","Código de Atributo"
"Attribute Information","Información do atributo"
"Attribute Label","Rótulo do Atributo"
"Attribute Model","Modelo do atributo"
"Attribute Name:","Nome de atributo:"
"Attribute Properties","Propriedades do Atributo"
"Attribute Set","Grupo de atributo"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Modelo de Atributo não definido"
"Attribute with the same code already exists","Xa existe un atributo co mesmo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Os nomes de atributo poden especificarse por cada tenda."
"Autogenerate","Xerar automaticamente"
