"Add Recipient","Engadir destinatario"
"Allow for Guests","Permitir convidados"
"Email Address","Enderezo de correo electrónico"
"Email Address:","Enderezo de correo electrónico:"
"Email templates","Email Template"
"Email to a Friend","Correo para un amigo"
"Email:","Correo:"
"Enabled","Activado"
"Limit Sending By","Limitar o envío por"
"Link to a friend was sent.","Foi enviado o link para o seu amigo"
"Max Products Sent in 1 Hour","Máximo de produtos enviados en 1 hora"
"Max Recipients","Máximo de destinatarios"
"Maximum %d email addresses allowed.","Máximo de enderezos de correo permitidos %d."
"Message:","Mensaxe:"
"Name","Nome"
"Name:","Nome:"
"Recipient:","Destinatario:"
"Remove Email","Eliminar correo"
"Select email template","Seleccionar o template do email"
"Send email","Enviar email"
"Send product to a friend","Enviar un produto a un amigo"
"Sender:","Remitente:"
"Some emails was not sent","Alguns emails não foram enviados"
"Some problems with data.","Alguns problemas com os dados"
"You cannot email this product to a friend","Não pode enviar este produto por email para um amigo"
"You cannot send more than %d times in an hour","Não pode enviar mais de %d emails por hora"
