"-- Please Select --","-- Por favor, seleccione --"
"Add New Class","Engadir unha nova clase"
"Add New Tax Rate","Engadir unha nova taxa de imposto"
"Add New Tax Rule","Engadir unha nova regra de imposto"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Aplicar imposto sobre"
"Are you sure you want to do this?","Está vostede seguro de que quere facer isto?"
"Back","Volver"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Nome da clase"
"Code","Código"
"Country","País"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Comarca"
"Custom price if available","Prezo personalizado se está dispoñible"
"Customer Tax Class","Clase de imposto do cliente"
"Customer Tax Class Information","Información da clase de imposto do cliente"
"Customer Tax Classes","Clases de imposto do cliente"
"Default Country","País predeterminado"
"Default Post Code","Código postal predeterminado"
"Default State","Estado predeterminado"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Eliminar clase"
"Delete Rate","Eliminar taxa"
"Delete Rule","Eliminar regra"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Mostrar os prezos do envío"
"Display Zero Tax Subtotal","Mostrar o subtotal sen imposto"
"Display full tax summary","Display full tax summary"
"Edit Class","Editar clase"
"Edit Class '%s'","Editar a clase '%s'"
"Edit Rule","Editar a regra"
"Edit Tax Rate","Editar taxa de imposto"
"Error while deleting this class. Please try again later.","Erro ao remover a classe. Por favor tente novamente mais tarde"
"Error while deleting this rate. Incorrect rate ID","Erro ao remover a taxa. Id incorrecta"
"Error while deleting this rate. Please try again later.","Erro ao remover a taxa. Por favor tente novamente mais tarde"
"Error while deleting this tax rule. Please try again later.","Erro ao remover regra de imposto. Por favor tente novamente mais tarde."
"Error while saving this rate. Please try again later.","Erro ao guardar a taxa. Por favor tente novamente mais tarde"
"Error while saving this tax class. Class with the same name ","Erro ao guardar esta classe de Imposto. Já existe uma com o mesmo nome"
"Error while saving this tax class. Please try again later.","Erro enquanto guardava a Classe de Imposto. Por favor tente novamente mais tarde."
"Error while saving this tax rule. Please try again later.","Erro ao guardar taxa de imposto. Por favor tente novamente mais tarde"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Excl. Imposto"
"Excl. Tax:","Excl. Imposto:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Exportar taxas de imposto"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Importar / Exportar taxas de imposto"
"Import Tax Rates","Importar taxas de imposto"
"Inc. Tax","Inc. Imposto"
"Incl. Tax","Incl. Imposto"
"Incl. Tax:","Incl. Imposto:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Dados de taxa incorrectos"
"Invalid data for tax rate calculation","Dados inválidos para cálculo do imposto"
"Invalid file format upload attempt","Tentativa de cargar formato de ficheiro non válido"
"Invalid file upload attempt","Tentativa de cargar ficheiro non válida"
"Manage Customer Tax Classes","Xestionar clases de imposto de cliente"
"Manage Product Tax Classes","Xestionar clases de imposto de produto"
"Manage Tax Rates","Xestionar taxas de imposto"
"Manage Tax Rules","Xestionar regras de imposto"
"Manage Tax Zones & Rates","Xestionar zonas de impostos e taxas"
"Name","Nome"
"New Class","Nova clase"
"New Rule","Nova regra"
"New Tax Rate","Nova taxa de imposto"
"None","Ningún"
"One of the country has invalid code.","Un dos países ten un código non válido."
"Original price only","Só prezo orixinal"
"Please select Country","Por favor seleccione o País"
"Please select County","Por favor seleccione o Condado"
"Please select State","Por favor seleccione o estado"
"Priority","Prioridade"
"Product Tax Class","Clase de imposto do produto"
"Product Tax Class Information","Información da clase de imposto do produto"
"Product Tax Classes","Clases de imposto do produto"
"Rate","Tarifa"
"Reset","Restablecer"
"Sales","Vendas"
"Save Class","Gardar clase"
"Save Rate","Gardar taxa"
"Save Rule","Gardar a regra"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Orde de clasificación"
"State","Estado"
"State/Region","Estado/Rexión"
"Tax","Imposto"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Clase de imposto por envío"
"Tax Classes","Clases de imposto"
"Tax Identifier","Identificador de imposto"
"Tax Rate","Taxa de imposto"
"Tax Rate Information","Información da taxa de imposto"
"Tax Rule Information","Información da regra de imposto"
"Tax Rules","Regras de imposto"
"Tax Section","Sección de imposto"
"Tax Titles","Títulos de imposto"
"Tax class was successfully deleted","A classe de Impostos foi removida com sucesso"
"Tax class was successfully saved","Classe de imposto correctamente guardada"
"Tax rate was successfully deleted","Taxa de Imposto correctamente removida"
"Tax rate was successfully imported","Taxas de imposto importadas com sucesso"
"Tax rate was successfully saved","Taxa de Imposto correctamente guardada"
"Tax rates at the same priority are added, others are compounded.","As taxas de imposto coa mesma prioridade engádense, outras grávanse."
"Tax rule was successfully deleted","Taxa de Imposto correctamente removida"
"Tax rule was successfully saved","Regra de imposto correctamente guardada"
"This class no longer exists","Esta clase xa non existe"
"This rule no longer exists","Esta regra xa non existe"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Non pode eliminar esta clase de imposto cando se utiliza para %d grupos de cliente."
"You cannot delete this tax class as it is used for %d products.","Non se pode eliminar esta clase de imposto cando se utiliza para %d produtos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Non se pode eliminar esta clase de imposto cando se utiliza en Regras de Impostos. Ten que eliminar estas regras que utiliza nun principio."
"Zip/Post Code","Código postal"
