"Actions","Accións"
"Are you sure?","Está vostede seguro?"
"Date Added","Data en que se engadiu"
"Error while marking as read. Please try again later.","Error while marking as read. Please try again later."
"Error while marking. Please try again later.","Error while marking. Please try again later."
"Error while removing. Please try again later.","Error while removing. Please try again later."
"Last update","Last update"
"Mark as Read","Marcar como lido"
"Mark as read","Marcar como lido"
"Message","Mensaxe"
"Message was successfully marked as read","Message was successfully marked as read"
"Message was successfully removed","Message was successfully removed"
"Messages Inbox","Caixa de mensaxes"
"Notifications","Notificacións"
"Please select messages","Please select messages"
"Read Details","Ler detalles"
"Remove","Eliminar"
"Severity","Gravidade"
"Show List","Amosar lista"
"Show Toolbar","Amosar a barra de ferramentas"
"Total of %d record(s) were successfully marked as read","Total of %d record(s) were successfully marked as read"
"Total of %d record(s) were successfully removed","Total of %d record(s) were successfully removed"
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Update frequency","Update frequency"
"Use HTTPS to get feed","Use HTTPS to get feed"
"critical","crítico"
"major","importante"
"minor","secundario"
"notice","aviso"
