" Copy","Copiar"
"Action","Acción"
"Add New Template","Engadir modelo novo"
"Add to Queue","Engadir á fila"
"Are you sure that you want to delete this template?","Está seguro de que quere eliminar este modelo?"
"Are you sure that you want to strip all tags?","Está seguro de que quere eliminar todas as etiquetas?"
"Back","Volver"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot delete subscriber","Não é possível remover o subscritor"
"Cannot delete template","Não é possível remover o Modelo"
"Cannot mark as received subscriber","Não é possível marcar como subscritor inscrito"
"Cannot save your subscription: %s","Não é possível guardar a sua subscrição: %s"
"Confirmation Email Sender","Remitente do correo de confirmación"
"Confirmation Email Template","Modelo de correo de confirmación"
"Confirmation request has been sent","Foi enviado o pedido de confirmação"
"Convert to Plain Text","Converter a texto plano"
"Create Newsletter Template","Crear un modelo de boletín informativo"
"Customer","Cliente"
"Customer Firstname","Primeiro Nome Cliente"
"Customer Lastname","Apelido do Cliente"
"Date Added","Data en que se engadiu"
"Date Updated","Data en que se actualizou"
"Delete Selected Problems","Eliminar os problemas seleccionados"
"Delete Template","Eliminar modelo"
"Do you really want to cancel the queue?","Realmente quere eliminar a lista?"
"Duplicate of template code","Duplicado do código de modelo"
"Edit Newsletter","Editar boletín informativo"
"Edit Newsletter Template","Editar modelo do boletín informativo"
"Edit Queue","Editar fila"
"Edit Template","Editar modelo"
"Email","Correo electrónico"
"Enter your email address","Introduza o seu enderezo de correo electrónico"
"Error Code","Código de erro"
"Error Text","Texto de erro"
"Form was filled incorrectly","O formulário foi preenchido incorrectamente"
"Guest","Convidado"
"ID","ID"
"Invalid queue selected","Fila inválida seleccionada"
"Invalid subscriber ID","ID de subscritor inválida"
"Invalid subscription ID","ID de subscrição inválida"
"Invalid subscription confirmation code","Código de confirmação de subscrição inválido"
"Message","Mensaxe"
"Need to Confirm","Necesita confirmación"
"New Newsletter Template","Modelo de novo boletín informativo"
"New Template","Novo modelo"
"Newsletter","Boletín informativo"
"Newsletter Message Preview","Previsualización de mensaxe do boletín informativo"
"Newsletter Problem Reports","Informes de problemas do boletín"
"Newsletter Queue","Lista do boletín informativo"
"Newsletter Section","Sección do boletín informativo"
"Newsletter Sign-up","Subscrever Newsletter"
"Newsletter Subscribers","Subscritores do boletín informativo"
"Newsletter Subscription","Subscrición ao boletín informativo"
"Newsletter Subscriptions","Subscricións ao boletín informativo"
"Newsletter Templates","Modelos de boletín informativo"
"Newsletter subscription confirmation","Confirmación da subscrición ao boletín informativo"
"Newsletter subscription success","Subscrición ao boletín informativo correcta"
"Newsletter unsubscription success","Baixa no boletín informativo correcta"
"No Templates Found","Non se atoparon modelos"
"No problems found","Não foram encontrados problemas"
"No subscribers selected","Não foram seleccionados quaisquer subscritores"
"Not Sent","Non enviado"
"Not activated","Inactivo"
"Pause","Pausa"
"Paused","Detido"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Por favor, introduza o nome do novo modelo"
"Please select subscriber(s)","Por favor, seleccione subscritor(es)"
"Preview","Previsualización"
"Preview Template","Previsualización de modelo"
"Processed","Procesado"
"Queue Date Start","Data de inicio da lista"
"Queue Finish","Fin da lista"
"Queue Information","Información da lista"
"Queue Newsletter","Lista de espera da Newsletter"
"Queue Start","Comezo da lista"
"Queue Subject","Asunto da lista"
"Recipients","Destinatarios"
"Reset","Restablecer"
"Resume","Continuar"
"Return Html Version","Voltar à Versão HTML"
"Save And Resume","Guardar e continuar"
"Save As","Gardar como"
"Save Newsletter","Gardar boletín informativo"
"Save Template","Gardar modelo"
"Selected problem subscribers successfully unsubscribed","Os subscritores seleccionados com problemas foram removidos da lista de inscrição"
"Selected problems successfully deleted","Problemas seleccionados correctamente removidos"
"Sender","Remitente"
"Sender Email","Correo electrónico do remitente"
"Sender Name","Nome do remitente"
"Sending","Enviando"
"Sending Options","Sending Options"
"Sent","Enviado"
"Set Return-Path","Set Return-Path"
"Sign me up","Increver-me"
"Sign up for our newsletter:","Subscreve a nossa Newsletter:"
"Start","Comezar"
"Status","Estado"
"Store","Tenda"
"Store View","Visualización da tenda"
"Subject","Asunto"
"Subscribe","Subscribirse"
"Subscribed","Subscrito"
"Subscriber","Subscritor"
"Subscribers","Subscritores"
"Subscribers From","Subscritores de"
"Subscription Options","Opcións de subscrición"
"Success Email Sender","Remitente de correo correcto"
"Success Email Template","Modelo de correo correcto"
"Template Content","Contido do modelo"
"Template Information","Información do modelo"
"Template Name","Nome do modelo"
"Template Subject","Asunto do modelo"
"Template Type","Tipo de modelo"
"Thank you for your subscription","Obrigado pela sua subscrição"
"The subscription was successfully saved","A subscrição foi correctamente guardada"
"There was a problem with the subscription","Ocorreu um problema com a subscrição"
"There was a problem with the subscription: %s","Produciuse un problema coa subscrición: %s"
"There was a problem with the un-subscription.","Produciuse un problema coa baixa."
"There was an error while saving your subscription","Ocorreu um erro enquanto guardava a sua subscrição"
"Toggle Editor","Mudar Editor"
"Type","Tipo"
"Unsubscribe","Darse de baixa"
"Unsubscribe Selected","Seleccionado darse de baixa"
"Unsubscribed","Dado de baixa"
"Unsubscription Email Sender","Remitente do correo da baixa"
"Unsubscription Email Template","Modelo de correo de baixa"
"View Newsletter","Ver boletín informativo"
"Website","Sitio web"
"You have been successfully unsubscribed.","Cancelou a sua subscrição correctamente"
"Your subscription was successfully confirmed","A sua subscrição foi confirmada com sucesso"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Inscribirse ao noso boletín informativo"
"Newsletter Subscriptions","Newsletter Subscriptions"
