"%s Item(s)","%s Elemento(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 tenda de demostración do Magento. Todos os dereitos reservados."
"(Shift-)Click or drag to change value","(Maiús-) Prema ou arrastre para cambiar o valor"
"(ver. %s)","ver. %s"
"- Click on any of the time parts to increase it","- Prema sobre algunha das partes do tempo para incrementalo"
"- Hold mouse button on any of the above buttons for faster selection.","- Manteña premido o botón do rato nalgúns dos botóns de enriba para seleccionar máis rápido."
"- Use the %s buttons to select month","- Utilice o botón %s para seleccionar o mes"
"- Use the %s, %s buttons to select year","- Utilice o %s, o botón %s para seleccionar o ano"
"- or Shift-click to decrease it","- ou Maiús-clic para diminuílo"
"- or click and drag for faster selection.","- ou prema e arrastre para seleccionar máis rápido."
"About the calendar","Sobre o calendario"
"Click <a href=""%s"">here</a> if nothing has happened","Prema <a href=""%s"">aquí</a> se non ocorreu nada"
"Close","Pechar"
"Close Window","Pechar ventá"
"DHTML Date/Time Selector","Selector de Data/Hora DHTML"
"Date selection:","Selección de data:"
"Default Description","Descrición predeterminada"
"Default welcome msg!","Mensaxe de benvida predeterminada!"
"Display %s first","Mostrar primeiro %s"
"Distributed under GNU LGPL. See %s for details.","Distribuído baixo GNU LGPL. Ver %s para máis detalles."
"Drag to move","Arrastrar para mover"
"For latest version visit: %s","Para a última versión visite: %s"
"Go Today","Ir para Hoxe"
"Help Us to Keep Magento Healthy","Axúdenos a mellorar o Magento"
"Interface Language","Lingua da interface"
"Items %s to %s of %s total","Elementos %s para %s de %s total"
"Next Page","Página seguinte"
"Next month (hold for menu)","Mes seguinte (despregar menú)"
"Next year (hold for menu)","Ano seguinte (despregar menú)"
"Page:","Páxina:"
"Prev. month (hold for menu)","Mes anterior (despregar menú)"
"Prev. year (hold for menu)","Ano anterior (despregar menú)"
"Previous Page","Página anterior"
"Redirecting...","Redireccionando..."
"Report All Bugs","Informar de todos os erros"
"Select Store","Seleccionar tenda"
"Select date","Seleccionar data"
"Show","Mostrar"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Saltar para conteúdo principal"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Isto é unha tenda de demostración. Calquera pedido feito nesta tenda non será procesado nin atendido."
"Time selection:","Selección de hora:"
"Time:","Hora:"
"Welcome, %s!","Benvido, %s!"
"You're currently on:","Está actualmente em:"
"Your Language","A súa lingua"
"Your Language:","A súa lingua:"
"per page","por páxina"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
