"# of Uses","# de Usos"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Acción"
"Actions","Acções"
"Add New Tag","Engadir nova etiqueta"
"Add Tags","Engadir etiquetas"
"Add Your Tags:","Engadir as súas etiquetas:"
"Add to Cart","Engadir ao carriño"
"Add to Wishlist","Engadir á lista de desexos"
"All Tags","Todas as etiquetas"
"Approved","Aprobado"
"Are you sure that you want to delete this tag?","Tem a certeza que deseja remover esta etiqueta?"
"Are you sure you want to delete this tag?","Está seguro de que quere eliminar esta etiqueta?"
"Are you sure you want to do this?","Está vostede seguro de que quere facer isto?"
"Are you sure?","Está vostede seguro?"
"Back","Volver"
"Back to Tags List","Volver á lista de etiquetas"
"Back to view Tag","Voltar à visualização da Etiqueta"
"Block Information","Información do bloque"
"CSV","CSV"
"Change status","Cambiar estado"
"Click on a tag to view your corresponding products.","Prema na etiqueta para ver o produto correspondente."
"Country","País"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Tagged '%s'","Etiquetas dos clientes '%s'"
"Delete","Eliminar"
"Delete Tag","Eliminar etiqueta"
"Disabled","Desactivado"
"Edit Tag","Editar Etiqueta"
"Edit Tag '%s'","Editar etiqueta '%s'"
"Email","Correo electrónico"
"First Name","Nome"
"General Information","Información xeral"
"Grid","Grade"
"ID","ID"
"Last Name","Apelidos"
"List","Lista"
"My Recent Tags","As miñas etiquetas recentes"
"My Tags","As miñas etiquetas"
"Name","Nome"
"New Tag","Nova etiqueta"
"No matches found.","Non se encontraron coincidencias."
"Other people marked this product with these tags:","Outras persoas marcaron este produto con estas etiquetas:"
"Pending","Pendente"
"Pending Tags","Etiquetas pendentes"
"Popular","Popular"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidade"
"Price","Prezo"
"Product Name","Nome do produto"
"Product SKU","Sku do produto"
"Product Tags","Etiquetas do produto"
"Products","Produtos"
"Products Tagged with '%s'","Produtos etiquetados con '%s'"
"Products tagged with '%s'","Produtos etiquetados con '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produtos etiquetados com '%s' (<a hre='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Gardar etiqueta"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Resultados da pesquisa  para '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Estado"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Informação de Etiqueta"
"Tag Name","Nome de etiqueta"
"Tag Name: %s","Nome da Etiqueta: %s"
"Tag can't be empty.","Etiqueta não poder ficar em branco"
"Tagged in","Etiquetado em"
"Tags","Etiquetas"
"Tags Aren't Available","As etiquetas não estão disponíveis"
"Tags:","Etiquetas:"
"Telephone","Teléfono"
"Thank you. Your tag has been accepted for moderation.","Obrigado. A sua etiqueta foi aceite para moderação"
"Unable to find any products tagged with '%s' in the current store","Non foi posible encontrar ningún produto etiquetado con '%s' na tenda actual"
"Unable to remove tag. Please, try again later.","Non se puido eliminar a etiqueta. Por favor, inténteo máis tarde."
"Unable to save tag(s)","Incapaz de guardar as etiqueta(s)"
"Unable to save your tag. Please, try again later.","Incapaz de guardar a sua etiqueta. Por favor tente novamente mais tarde."
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilice espazos para separar etiquetas. Utilice comiñas simples (') para as frases."
"Uses","Usos"
"View All","Ver Tudo"
"View All Tags","Ver todas as etiquetas"
"View Customers","Ver os clientes"
"View Products","Ver os produtos"
"Visible In","Visível em"
"XML","XML"
"You have not tagged any products yet.","Aínda non etiquetou ningún produto."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Código postal"
"You have not tagged any products yet.","You have not tagged any products yet."
