"%s is not correct comparsion method.","%s non é o método correcto de comparación."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Observe</strong> que estes parámetros son aplicables aos elementos do carriño en liña, non ao carriño completo."
"Allow Qty Below 0","Permitir cantidades inferiores a 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidades inferiores a 0 e notificar ao cliente"
"Backorders","Pedidos atrasados"
"By Fixed value","Por valor fixo"
"By Percentage","Por porcentaxe"
"Can not specify product identifier for order item","Non se pode especificar o identificador de produto "
"Catalog Inventory","Inventario do catálogo"
"Decrease Stock When Order is Placed","Diminuí­r o stock cando se faga o pedido"
"In Stock","En stock"
"Inventory","Inventario"
"Inventory API","API do inventario"
"Inventory Section","Sección do inventario"
"Manage Stock","Xestionar existencias"
"Maximum Qty Allowed in Shopping Cart","Cantidade máxima permitida no carriño de compra"
"Minimum Qty Allowed in Shopping Cart","Cantidade mí­nima permitida no carriño de compra"
"No Backorders","Non hai pedidos atrasados"
"Notify for Quantity Below","Notificar cantidades por debaixo"
"Out of Stock","Sen existencias"
"Product Stock Options","Opcións de almacenaxe de produto"
"Qty for Items' Status to become Out of Stock","Cantidade no estado dos elementos para sinalar Sen existencias"
"Retrieve stock data","Data de recuperación de existencias"
"Retrieve stock data by product ids","Obter datos de stock por identificador de produto"
"Rule price","Prezo regulado"
"Set Items' Status to be In Stock When Order is Cancelled","Establecer o estado dos elementos en Dispoñible cando se cancele un pedido"
"Some of the products are currently out of stock","Algúns dos produtos están actualmente esgotados"
"Some of the products can not be ordered in requested quantity","Algúns dos produtos non poden pedirse na cantidade solicitada"
"Some of the products cannot be ordered in the requested quantity","Algúns dos produtos non poden pedirse na cantidade solicitada"
"Stock Options","Opcións de stock"
"Stock item for Product in option is not valid","O elemento en stock para o produto en opción non é válido"
"Stock item for Product is not valid","O elemento en stock para o produto non é válido"
"The maximum quantity allowed for purchase is %s.","A cantidade máxima permitida para a compra é de %s."
"The minimum quantity allowed for purchase is %s.","A cantidade mí­nima permitida para a compra é de %s."
"The requested quantity for ""%s"" is not available.","Non hai dispoñibilidade da cantidade pedida para ""%s""."
"The requested quantity is not available.","A cantidade pedida non está dispoñible."
"This product is currently out of stock.","Este produto está neste momento esgotado."
"To Fixed Value","A valor fixo"
"To Percentage","A porcentaxe"
"Update","Actualizar"
"Update product stock data","Actualizar datos de almacenaxe do produto"
"Update the Product","Actualizar o produto"
