"%s was successfully added to your shopping cart.","%s Foi correctamente adicionado ao seu carrinho de compras"
"&laquo; Back to Billing Information","&laquo; Voltar à Informação de Facturação"
"&laquo; Back to Select Addresses","&laquo; Voltar para seleccionar Endereços"
"&laquo; Back to Shopping Cart","&laquo; Voltar ao Carrinho de Compras"
"* Required Fields","* Campos obrigatorios"
"Add New Address","Engadir un novo enderezo"
"Add New Condition","Engadir un novo estado"
"Add to Cart","Engadir ao carriño"
"Add to Compare","Engadir para comparar"
"Add to Wishlist","Engadir á lista de desexos"
"Address","Enderezo"
"Address %s of %s","Enderezo %s de %s"
"After adding a product redirect to shopping cart","Depois de adicionar um produto redireccionar para o caminho de compras"
"Allow Guest Checkout","Permitir a confirmación de pedido como convidado"
"Already registered?","Xa está rexistrado?"
"An error occurred in the process of payment","Ocorreu un erro no proceso de pago"
"Apply Coupon","Aplicar cupón"
"Are you sure you would like to remove this item from the shopping cart?","Está seguro de querer eliminar este elemento do seu carriño da compra?"
"Back","Volver"
"Back to Shipping Information","Volver á información de envío"
"Based on your selection, you may be interested in the following items:","Baseándose na súa selección, podería estar interesado nos seguintes elementos:"
"Billing Address","Enderezo de facturación"
"Billing Information","Información de facturación"
"Billing Information - %s","Información de facturación -%s"
"Can not add item to shopping cart","Não foi possível adicionar ao carrinho de compras"
"Can not apply coupon code.","Não é possível aplicar o cupão"
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Cancelar cupón"
"Cannot remove item","Não é possível remover o Item"
"Cannot update shopping cart","Não foi possível actualizar o seu carrinho"
"Card Verification Number Visual Reference","Referencia visual do número de verificación da tarxeta"
"Cart Subtotal:","Subtotal do carriño:"
"Change","Cambiar"
"Change Billing Address","Cambiar o enderezo de facturación"
"Checkbox text","Checkbox text"
"Checkout","Confirmación de pedido"
"Checkout Conditions","Condicións de confirmación de pedido"
"Checkout Options","Opcións de confirmación de pedido"
"Checkout Section","Sección de confirmación de pedido"
"Checkout Terms and Conditions","Revisar os termos e condicións"
"Checkout as Guest","Confirmación de pedido como convidado"
"Checkout as a Guest or Register","Revisar como persoa usuaria convidada ou rexistrada"
"Checkout method","Método de Envio"
"Checkout with Multiple Addresses","Confirmación de pedido con enderezos múltiples"
"City","Cidade"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Prema aquí para imprimir</a> unha copia da súa confirmación de pedido."
"Close","Pechar"
"Company","Empresa"
"Condition Name","Nome da condición"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Imagem de produto configurável"
"Confirm Password","Confirmar contrasinal"
"Content","Contido"
"Content Height","Altura do contido"
"Content Height (css)","Altura do contido (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar a información de facturación"
"Continue to Review Your Order","Continuar revisando o seu pedido"
"Continue to Shipping Information","Continuar a información de envío"
"Country","País"
"Coupon code ""%s"" is not valid.","O código do cupón ""%s"" non é válido."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","O cupão foi correctamente cancelado."
"Create Billing Address","Crear un enderezo de facturación"
"Create Shipping Address","Crear un enderezo de envío"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Houbo un problema gardando os datos"
"Default Billing","Factura por defecto"
"Default Shipping","Envío por defecto"
"Delete Condition","Eliminar condición"
"Details","Detalles"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Desactivado"
"Discount Codes","Códigos de desconto"
"Display Cart Summary","Amosar o resumo do carriño"
"Display Shopping Cart Sidebar","Amosar a barra lateral do carriño de compra"
"Display item quantities","Amosar as cantidades de elementos"
"Display number of items in cart","Amosar o número de elementos no carriño"
"Easy access to your order history and status","Acceso sinxelo ao seu historial de pedido e estado"
"Edit","Editar"
"Edit Address","Editar enderezo"
"Edit Billing Address","Editar enderezo de facturación"
"Edit Items","Editar elementos"
"Edit Shipping Address","Editar enderezo de envío"
"Edit Terms and Conditions","Editar os termos e condicións"
"Edit Your Cart","Editar o seu carriño"
"Email Address","Enderezo de correo electrónico"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Activado"
"Enter a New Address","Introducir un novo enderezo"
"Enter your coupon code if you have one.","Introduza o código do cupón se dispón dun."
"Enter your destination to get a shipping estimate.","Introduza o seu destino para obter unha estimación de envío."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
