"-- Please Select --","-- Por favor, seleccione --"
"Account Registration","Rexistro de conta"
"All fields of script types have to be filled.","Todos os campos de tipos de script teñen que ser completados."
"Attributes","Atributo"
"Category View Optimization","Optimización da visualización de categoría"
"Control Script","Script de control"
"Conversion Page","Páxina de conversión"
"Conversion Page URL","URL da páxina de conversión"
"Conversion Script","Script de conversión"
"Enable","Activar"
"Google Optimizer Scripts","Optimizador de scripts de Google"
"Google Website Optimizer","Optimizador de web de Google"
"Install Scripts","Instalar scripts"
"Limit is 8 attributes only.","Limit is 8 attributes only."
"Multi Address Checkout","Confirmación de pedido de enderezo múltiple"
"One Page Checkout","Confirmación de pedido dunha páxina"
"Order Success (Multi Address Checkout)","Pedido correcto (Confirmación de pedido de enderezo múltiple)"
"Order Success (One Page Checkout)","Pedido correcto (Confirmación de pedido dunha páxina)"
"Original Page","Páxina orixinal"
"Other","Outro"
"Page Type","Tipo de páxina"
"Page View Optimization","Optimización da visualización da páxina"
"Please copy and paste this value to experiment edit form","Por favor, copie e pegue este valor para experimentar un formulario de edición"
"Please select store view to see the URL","Por favor, seleccione visualización de tenda para ver o URL"
"Product View Optimization","Optimización da visualización do produto"
"Scripts Install URL","URL de instalación de scripts"
"Shopping Cart","Carriño da compra"
"Tracking Script","Script de seguimento"
"Use Default","Usar predeterminado"
"Use Default Values","Usar valores predeterminados"
"Variant Page","Páxina variante"
