"%s and greater","%s e maiores"
"Advanced Search","Busca Avanzada"
"All","Todos"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Mapa do síto gerado automaticamente"
"Catalog Advanced Search","Procura avanzada no catálogo"
"Catalog Search","Procura no catálogo"
"Don't see what you're looking for?","Non ve o que está buscando?"
"Go","Ir"
"Go to Home Page","Ir á páxina de inicio"
"Grid","Enreixado"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Lonxitude máxima da consulta"
"Maximum Query Words Count","Contador de palabras máximo da consulta"
"Maximum Search query  length is %s. Your query was cut.","A lonxitude máxima de consulta nunha busca é de %s. Cortouse a súa consulta."
"Minimal Query Length","Lonxitude mínima da consulta"
"Modify your search","Modificar a súa busca"
"No","Non"
"No items were found using the following search criteria.","Non se atopou ningún elemento seguindo os seus criterios de busca."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Termos de busca populares"
"Popular search terms","Termos de pesquisa populares"
"Relevance","Relevancia"
"Required Fields","Campos obrigatórios"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Parámetros de busca"
"Search Site","Pesquisar no site"
"Search Terms","Buscar termos"
"Search Type","Tipo de busca"
"Search entire store here...","Buscar en toda a tenda aquí..."
"Search results for '%s'","Resultados da busca para '%s'"
"Search results for: '%s'","Resultados da busca para: '%s'"
"Subscribe to Feed","Subscribirse á fonte de novas"
"There are no search terms available.","Non hai termos de busca dispoñibles."
"Yes","Si"
"You have to specify at least one search term","Tem que especificar pelo menos um termo de pesquisa"
"Your search returns no results.","A súa busca non ofrece resultados."
"up to %s","ata %s"
"<strong>%d item(s)</strong> were found using the following search criteria","Atopáronse <strong>%d elemento(s)</strong> usando os seguintes criterios de busca"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
