"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Nuoroda</a>"
"Access denied to destination folder ""%s""","Nėra leidimo pasiekti ši aplanką ""%s"""
"Could not load file: ""%s""","Neįkelti failai: ""%s"""
"Could not save file: %s","Neišsaugoti failai: %s"
"Declared adapter %s not found","Pasirinkto jungiklio %s nėra"
"Destination folder ""%s"" does not exist or not access to create","Pasirinkto aplanko ""%s"" nėra arba nėra leidimo jį sukurti"
"Destination folder ""%s"" is not a directory","Pasirinktas aplankas ""%s"" ne direktorija"
"Destination folder ""%s"" is not a writeable","Pasirinktas aplankas ""%s"" apsaugotas"
"Done","Atlikta"
"Dry run set, stopping execution","Dry run set, stopping execution"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Klaida laukų žymėjime! Laukų sąrašas žymėjimui nepasirinktas"
"Error occured during file opening: ""%s""","Klaida atidarant failą: ""%s"""
"File ""%s"" don't exist","Failas ""%s"" neegzistuoja"
"Found %d rows","Yra %d įrašų"
"Less than a minute","Mažiau nei minutė"
"Loaded successfully: ""%s""","Pilnai įkelta: ""%s"""
"Memory Used: %s","Naudojama atimties: %s"
"Method ""%s"" not defined in adapter %s","Metodas ""%s"" nesusietas su %s"
"Please declare ""adapter"" and ""method"" node first","Pirmiausia pasirinkite ""adapter"" ir ""method"""
"Processed records: %s","Vykdo įrašus: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Išsaugota: ""%s"" [%d bytai(u)]"
"Sheet 1","Lapas 1"
"Skip undefined row","Praleiskite neapibrėžtą eilę"
"Starting %s :: %s","Pradėti %s :: %s"
"Total records: %s","Viso įrašų: %s"
"hour","valanda"
"hours","valandos"
"minute","minutė"
"minutes","minutės"
