"Actions","Veiksmai"
"Are you sure?","Ar esate tikras?"
"Date Added","Data įrašyta"
"Error while marking as read. Please try again later.","Klaida, žymint kaip perskaitytą. Prašome pabandyti vėliau."
"Error while marking. Please try again later.","Klaida žymint. Prašome pabandyti vėliau."
"Error while removing. Please try again later.","Klaida šalinant. Prašome pabandyti vėliau."
"Last update","Paskutinis atnaujinimas"
"Mark as Read","Pažymėti kaip perskaitytą"
"Mark as read","Pažymėti kaip perskaitytą"
"Message","Žinutė"
"Message was successfully marked as read","Žinutė sėkmingai pažymėta kaip perskaityta"
"Message was successfully removed","Žinutė sėkmingai pašalinta"
"Messages Inbox","Žinučių pašto dėžutė"
"Notifications","Pranešimai"
"Please select messages","Prašome pasirinkti žinutes"
"Read Details","Skaityti detales"
"Remove","Pašalinti"
"Severity","Severity"
"Show List","Parodyti sąrašą"
"Show Toolbar","Rodytį įrankių juostą"
"Total of %d record(s) were successfully marked as read","Viso %d įrašų sėkmingai pažymėta kaip perskaityti"
"Total of %d record(s) were successfully removed","Viso %d įrašų sėkmingai pašalinta"
"Unable to proceed. Please, try again","Neįmanoma atlikti. Prašome pabandyti vėliau"
"Update frequency","Atnaujinimo dažnumas"
"Use HTTPS to get feed","Naudoti HTTPS prisijungimui"
"critical","svarbus"
"major","pagrindinis"
"minor","šalutinis"
"notice","pranešimas"
