"%s was successfully added to your shopping cart.","%s sėkmingai įkelta į Jūsų Krepšelį."
"&laquo; Back to Billing Information","&laquo; Atgal į mokėjimo informaciją"
"&laquo; Back to Select Addresses","&laquo; Atgal į adreso pasirinkimą"
"&laquo; Back to Shopping Cart","&laquo; Atgal į krepšelį"
"* Required Fields","* Privalomas laukelis"
"Add New Address","Įrašyti naują adresą"
"Add New Condition","Add New Condition"
"Add to Cart","Pridėti į krepšelį"
"Add to Compare","Palyginti"
"Add to Wishlist","Pridėti į Pažymėtų sąrašą"
"Address","Adresas"
"Address %s of %s","Adresas <span class=""shipment-count"">%s</span> iš %s"
"After adding a product redirect to shopping cart","Po prekės įkėlimo nukreipti į Krepšelį"
"Allow Guest Checkout","Svečiai gali užsakyti"
"Already registered?","Jau esate užsiregistravęs?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Naudoti kuponą"
"Are you sure you would like to remove this item from the shopping cart?","Ar tikrai norite pašalinti šią prekę iš krepšelio?"
"Back","Atgal"
"Back to Shipping Information","Atgal į Pristatymo informaciją"
"Based on your selection, you may be interested in the following items:","Gal Jus sudomins ir šios prekės:"
"Billing Address","Mokėjimo adresas"
"Billing Information","Mokėjimo Informacija"
"Billing Information - %s","Mokėtojo informacija - %s"
"Can not add item to shopping cart","Neįmanoma įdėti prekių į krepšelį"
"Can not apply coupon code.","Neįmanoma naudoti kupono kodo."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Cancel Coupon"
"Cannot remove item","Neįmanoma pašalinti prekės"
"Cannot update shopping cart","Neįmanoma atnaujinti Krepšelio"
"Card Verification Number Visual Reference","Kortelės patvirtinimo kodas "
"Cart Subtotal:","Tarpinė suma:"
"Change","Change"
"Change Billing Address","Pakeisti Mokėtojo adresą"
"Checkbox text","Checkbox text"
"Checkout","Pirkti"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Kasos Opcijos"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Pirkti kaip svečiui"
"Checkout as a Guest or Register","Pirkti kaip svečiui arba registruotis"
"Checkout method","Pirkimo būdas"
"Checkout with Multiple Addresses","Pirkti su skirtingais adresais"
"City","Miestas"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Paspauskite <a href=""%s"" onclick=""this.target='_blank'"">čia</a> norėdami atsispausdinti Jūsų užsakymo patvirtinimo kopiją."
"Close","Uždaryti"
"Company","Įmonė"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Konfigūruojamo produkto vaizdas"
"Confirm Password","Patvirtinti slaptažodį"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Tęsti"
"Continue Shopping","Tęsti apsipirkimą"
"Continue to Billing Information","Pereiti į mokėjimo informaciją"
"Continue to Review Your Order","Pereiti į Jūsų užsakymo peržiūrą"
"Continue to Shipping Information","Pereiti į pristatymo informaciją"
"Country","Šalis"
"Coupon code ""%s"" is not valid.","Kupono kodas ""%s"" negalioja."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Create Billing Address","Sukurti Mokėtojo adresą"
"Create Shipping Address","Sukurti pristatymo adresą"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Duomenų saugojimo problemos"
"Default Billing","Įprastas apmokėjimas"
"Default Shipping","Įprastas pristatymas"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Nuolaidos kodas"
"Display Cart Summary","Rodyti Krepšelio Sumą"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Rodyti Įrašų kiekį"
"Display number of items in cart","Rodyti įrašų kiekį Krepšelyje"
"Easy access to your order history and status","Lengvas priėjimas prie užsakymų istorijos ir būsenos"
"Edit","Redaguoti"
"Edit Address","Redaguoti adresą"
"Edit Billing Address","Redaguoti Mokėtojo adresą"
"Edit Items","Redaguoti prekes"
"Edit Shipping Address","Redaguoti pristatymo adresą"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Redaguoti Jūsų kortelę"
"Email Address","El.pašto adresas"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","Įrašykite naują adresą"
"Enter your coupon code if you have one.","Jei turite Kuponą, įrašykite jo kodą."
"Enter your destination to get a shipping estimate.","Įveskite pristatymo vietą"
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Apskaičiuoti pristatymą ir mokesčius"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Greitas ir lengvas pirkimas"
"Fax","Faksas"
"Forgot an Item?","Pamiršote prekę?"
"Forgot your password?","Pamiršote slaptažodį?"
"Get a Quote","Sužinoti kainą"
"Grand Total:","Viso suma:"
"Grouped product image","Sugrupuotas produkto vaizdas"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Klaidingi duomenys"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Klaidingas pristatymo metodas."
"Items","Prekės"
"Load customer quote error","Klaida įkeliant Kliento info"
"Loading next step...","Palaukite vykdoma..."
"Login","Prisijugti"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimalus leistinas adresų kiekis renkantis pristatymą keliems adresams %s"
"Move to Wishlist","Į Pažymėtų sąrašą"
"My Account","Mano sąskaita"
"My Cart","Mano krepšelis"
"My Cart (%s item)","Mano krepšelyje (%s įrašas)"
"My Cart (%s items)","Mano krepšelyje (%s įrašai)"
"My Cart Link","Mano Krepšelio Sąsaja"
"New Address","Naujas adresas"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Užsakymo apžvalga"
"Order Success","Užsakymas pavyko"
"Other items in your order","Other items in your order"
"Password","Slaptažodis"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Mokėjimo informacija"
"Payment Method","Mokėjimo būdas"
"Payment method is not defined","Mokėjimo būdas nepasirinktas"
"Place Order","Užsakyti"
"Please <a href=""%s"">continue shopping</a>.","Prašome <a href=""%s"">tęskite pirkimą</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Įveskite galiojantį pašto indeksą. Pvz.: 90602 ar 90602-1234."
"Please log in below:","Prašome prisijungti žemiau:"
"Please select region, state or province","Prašome pasirinkti regioną, apskritį ar rajoną"
"Please select shipping address for applicable items","Prašome pasirinkti pristatymo adresą prekėms"
"Please select shipping methods for all addresses","Prašome pasirinkti pristatymo būdą visiems adresams"
"Price","Kaina"
"Proceed to Checkout","Pradėti pirkimą"
"Product","Prekė"
"Product Name","Prekės pavadinimas"
"Product does not exist","Prekė nebeegzistuoja"
"Qty","Vnt."
"Quote Lifetime (days)","Citatos galiojimas (dienos)"
"Recently added item(s)","Neseniai pridėtos prekės"
"Register","Registruotis"
"Register and save time!","Registruokitės ir taupykite laiką!"
"Register to Create an Account","Registruokitės norėdami sukurti paskyrą"
"Register with us for future convenience:","Registruokitės:"
"Remove","Šalinti"
"Remove Item","Pašalinti"
"Remove Product","Šalinti prekę"
"Remove item","Remove item"
"Review Order","Žiūrėti užsakymą"
"Review Order - %s","Užsakymo Apžvalga - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Save in address book"
"Select Address","Pasirinkti adresą"
"Select Addresses","Pasirinkti adresus"
"Select Shipping Method","Pasirinkti pristatymo būdą"
"Select State/Province...","Pasirinkti Apskritį/Rajoną..."
"Select a billing address from your address book or enter a new address.","Pasirinkite mokėjimo adresą iš adresų knygelės arba įveskite <a href=""#"" onclick=""billing.newAddress(true); return false;"">naują adresą</a>."
"Select a shipping address from your address book or enter a new address.","Pasirinkite pristatymo adresą iš adresų knygelės arba įveskite <a href=""#"" onclick=""shipping.newAddress(true); return false;"">naują adresą</a>."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Siųsti į"
"Ship to Multiple Addresses","Pristatyti keliais adresais"
"Ship to different address","Pristatyti skirtingais adresais"
"Ship to this address","Pristatyti šiuo adresu"
"Shipping Address","Pristatymo adresas"
"Shipping Information","Pristatymo informacija"
"Shipping Method","Pristatymo būdas"
"Shipping Methods","Pristatymo būdai"
