"ALL","VISI"
"ANY","BET KAS"
"Add","Pridėti"
"Apply","Patvirtinti"
"Description: %s","Aprašymas: %s"
"Expire at: %s","Baigiasi: %s"
"FALSE","KLAIDINGAS"
"If %s of these conditions are %s:","Jei šių sąlygų %s yra %s:"
"Invalid discount amount.","Neteisingas nuolaidos dydis."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Vardas: %s"
"Open Chooser","Atviras Pasirinkimas"
"Perform following actions","Įvykdykite kitus veiksmus"
"Please choose a condition to add...","Prašome pasirinkti pridedamą sąlygą..."
"Please choose an action to add...","Prašome pasirinkti pridedamą veiksmą..."
"Remove","Pašalinti"
"Start at: %s","Pradėti: %s"
"TRUE","TRUE"
"by","iš"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","yra"
"is not","nėra"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","į"
