"%s is not supported currency.","%s yra neaptarnaujama valiuta."
"Accept","Priimta"
"Basic","Pagrindinis"
"Cannot retreive rate from strikeirion.","Neįmanoma atkurti  rodiklio iš strikeirion."
"Cannot retrieve rate from %s to %s","Neįmanoma atkurti rodiklio iš %s į %s"
"Check all email servers","Patikrinkite visus el. pašto servisus"
"Complete","Atlikta"
"Country/Region/Postal code combination","Šalies/Regiono/pašto kodo kombinacija"
"Customer Tax Class","Vartotojo mokesčių klasė"
"Email Verification","El.pašto patvirtinimas"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","Neįmanoma patvirtinti el. pašto adreso.Prašome patikrinti, ar el. pašto adresas įvestas teisingai."
"Enable US address verification","Galimas US adresų patvirtinimas"
"Enable email verification","Galimas el.pašto patvirtinimas"
"Enable foreign exchange rate","Galimi užsienio valiutų keitimo kursai"
"Enable global address verification","Galimi visų adresų patvirtinimai"
"Enable sales and use tax","Galimi išpardavimai ir mokesčių panaudojimas"
"Error Email Recipient","Klaidingas el.laiško gavėjas"
"Error Email Sender","Klaidingas el.laiško siuntėjas"
"Error Email Template","Klaidingas el. laiško šablonas"
"Error address action","Klaidingas adresas"
"Foreign Exchange Rates","Užsienio valiutos keitimo kursai"
"Global Address Verification","Globalus adresų patvirtinimas"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate."
"Invalid email address","Klaidingas el. pašto adresas"
"Maximum tax rate","maksimalus mokesčių tarifas"
"Minimum tax rate","Minimalus mokesčių tarifas"
"Password","Slaptažodis"
"Pop up warning and accept","Pop up warning and accept"
"Product Tax Class","Prekės mokesčių klasė"
"Reject","Atmesti"
"Sales and Use Tax","Sales and Use Tax"
"Sales and Use Tax Type","Sales and Use Tax Type"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Config"
"Strikeiron Section","Strikeiron Section"
"Strikeiron foreign exchange rate is disabled","Strikeiron foreign exchange rate is disabled"
"Tax","Mokestis"
"There is an error in retrieving tax rate. Please contact us","There is an error in retrieving tax rate. Please contact us"
"There is an error in verifying an email. Please contact us.","There is an error in verifying an email. Please contact us."
"There is no more hits remaining for the foreign Exchange Rate Service.","There is no more hits remaining for the foreign Exchange Rate Service."
"There is no response back from Strikeiron server","There is no response back from Strikeiron server"
"US Address Verification","US adresų patvirtinimas"
"Undetermined email action","Undetermined email action"
"Use","Naudoti"
"User ID","Vartotojo D"
"Verify address in admin","Patvirtinkite administratoriaus paštą"
"Verify email in admin","Patvirtinkite administartoriaus el.paštą"
