"-- Please select --","-- Pasirinkite --"
"Allowed currencies","Leistos valiutos"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Neįmanoma gauti duomenų iš %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Tęsti &raquo;"
"Country","Country"
"Country Api","Country Api"
"Country and Format Type combination should be unique","Šalies ir Formato Tipo kombinacija turi būti unikali"
"Currency","Valiuta"
"Currency Options","Valiutos nustatymai"
"Currency Setup","Valiutos valdymas"
"Currency Update Warnings","Valiutos atnaujinimo info"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Pagrindinė rodoma valiuta"
"Directory","Directory"
"Enabled","Įjungta"
"Error Email Recipient","Klaidų el.pašto gavėjai"
"Error Email Sender","Klaidų el.pašto Siuntėjas"
"Error Email Template","Klaidų el.pašto Šablonas"
"FATAL ERROR:","Kritinė KLAIDA:"
"Frequency","Dažnumas"
"Installed Currencies","Instaliuotos Valiutos"
"Invalid Import Service Specified","Neteisingas Serviso Importas"
"Invalid country code: %s","Neteisingas šalies kodas: %s"
"Invalid rates received","Neteisingos gautos reikšmės"
"Invalid target currency","Neteisingas valiutos pasirinkimas"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Suplanuoto Importo Nustatymai"
"Select Your Currency","Pasirinkite valiutą"
"Service","Paslaugos"
"Start Time","Pradžia"
"State/Province","Rajonas"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Neįmanoma įkelti importo modelio"
"Undefined rate from ""%s-%s""","Nežinoma reišmė iš ""%s-%s"""
"WARNING:","DĖMESIO:"
"Webservicex","Webservicex"
"Your current currency is: %s","Jūsų dabartinė valiuta: %s"
