"Actions","Veiksmai"
"Active","Aktyvus"
"Add New Rule","Pridėti naują taisyklę"
"Apply Rules","Patvirtinti taisykles"
"Attribute Set","Savybių rinkinys"
"Catalog","Katalogas"
"Catalog Price Rule","Katalogo kainų taisyklė"
"Catalog Price Rules","Katalogo kainų taisyklės"
"Category","Kategorija"
"Comments History","Komentarų istorija"
"Conditions","Sąlygos"
"Conditions (leave blank for all products)","Būklė (paliekame tuščia visoms prekėms)"
"Conditions Combination","Sąlygų kombinacija"
"Credit Memos","Kredito pastaba"
"Customer Groups","Klientų grupės"
"Customer is new buyer: %s","Klientas yra naujas pirkėjas: %s"
"Customer registered: %s","Užsiregistravęs klientas: %s"
"Date Expire","Pabaigos data"
"Date From","Data Nuo"
"Date Start","Pradžios data"
"Date To","Data Iki"
"Delete Rule","Šalinti taisyklę"
"Description","Aprašymas"
"Description: %s","Aprašymas: %s"
"Edit Rule","Redaguoti taisyklę"
"Edit Rule '%s'","Redaguoti taisyklę '%s'"
"Expire at: %s","Baigsis: %s"
"From Date","Nuo datos"
"General Information","Pagrindinė informacija"
"Gift Messages","Dovanos Žinutė"
"ID","ID"
"Inactive","Neaktyvus"
"Invoices","Faktūros"
"NOT LOGGED IN","NEPRISIJUNGĘS"
"Name: %s","Pavadinimas: %s"
"New Rule","Nauja taisyklė"
"No","Ne"
"Options","Pasirinkimai"
"Order Credit Memos","Užsakymo Kredito Pastaba"
"Order Gift Messages","Užsakymo Dovanos Žinutė"
"Order History","Užsakymo istorija"
"Order Invoices","Užsakymo faktūros"
"Order Shipments","Užsakymo pristatymai"
"Priority","Prioritetas"
"Product Attribute","Prekės savybė"
"Promotions","Reklama"
"Rule Information","Taisyklės informacija"
"Rule Name","Taisyklės pavadinimas"
"Rule was successfully deleted","Taisyklė sėkmingai pašalinta"
"Rule was successfully saved","Taisyklė sėkmingai išsaugota"
"Rules were successfully applied","Taisyklės sėkmingai buvo pritaikytos"
"Save Rule","Išsaugojimo taisyklė"
"Save and Apply","Išsaugoti ir patvirtinti"
"Shipments","Pristatymas"
"Start at: %s","Pradėti nuo: %s"
"Status","Būsena"
"Stop further rules processing","Stabdyti tolimesnės taisyklės vykdymą"
"The page you are trying to save no longer exists","Puslapis, kurį bandote pasiekti, nebeegzistuoja"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Ši taisyklė daugiau neegzistuoja"
"To Date","Iki datos"
"Unable to apply rules","Neįmanoma pritaikyti taisyklių"
"Unable to find a page to delete","Nerastas puslapis šalinimui"
"Update product's %s %s: %s","Atnaujinti produktus %s %s: %s"
"Websites","Tinklapis"
"Yes","Taip"
