"* Required Fields","* Privalomi laukeliai"
"Add","Pridėti"
"Add Gift Message","Dovanos žinutė"
"Allow Gift Messages for Order Items","Galimos Dovanų Žinutės Užsakymams"
"Allow Gift Messages on Order Level","Galimos Dovanų Žinutės Užsakymų Lygiui"
"Are you sure?","Ar esate tikras?"
"Cancel","Atšaukti"
"Check this checkbox if you want to add gift messages to your items.","Pažymėkite, jei norite pridėti dovanos žinutes įrašams."
"Check this checkbox if you want to add gift messages.","Pažymėkite, jei norite pridėti dovanos žinutes."
"Close","Uždaryti"
"Do you have any gift items in your order?","Ar turite dovanas savo užsakyme?"
"Edit","Redaguoti"
"Edit Gift Message","Keisti Dovanos žinutę"
"Enter a gift message for each item in your order.","Įrašykite dovanos žinutę kiekvienam pirkimui Jūsų užsakyme."
"Enter a gift message for entire order.","Įrašykite dovanos žinutę Jūsų užsakyme."
"Enter a gift message for this address.","Įrašykite dovanos žinutę šitam adresui."
"Error while saving gift message","Klaida išsaugant dovanos žinutę"
"From","Nuo"
"Gift Message","Dovanos žinutė"
"Gift Messages","Dovanos žinutės"
"Gift message has been successfully saved","Dovanos Žinutės išsaugotos"
"Item %d of %d","Įrašai %d iš %d"
"Message","Žinutė"
"No","Ne"
"Remove","Pašalinti"
"Save","Išsaugoti"
"Save Gift Message","Saugoti dovanos žinutę"
"To","Kam"
"Unknown entity type","Nežinomas formatas"
"Use config","Kaip numatyta"
"Yes","Taip"
"You can leave a box blank if you don't wish to add a gift message for the item.","Galite palikti tuščią, jeigu nenorite įrašyti dovanos žinutės šiai prekei."
"You can leave a box blank if you don't wish to add a gift message for this address.","Galite palikti tuščią, jeigu nenorite įrašyti dovanos žinutės šiems adresams."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Galite palikti tuščią, jeigu nenorite įrašyti dovanos žinutės visam užsakymui."
"Your gift message has been successfully removed","Dovanos žinutė ištrinta"
"Your gift message has been successfully saved","Dovanos žinutė išsaugota"
"Your gift message successfully removed","Jūsų dovanos žinutė ištrinta"
"Your gift message successfully saved","Jūsų dovanos žinutė išsaugota"
