"--Please Select--","--Pasirinkite--"
"<label>Make Check payable to:</label> %s","<label>Mokėjimo Čekis kam:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Mokėjimo Čekis kam</label>: %s"
"Automatically invoice all items","Automatiškai sąskaitos visiems užsakymams"
"Can not configuration for payment method with code: %s","Neįmanoma nustatyti mokėjimo su šiuo kodu: %s"
"Can not retrieve payment info model object.","Neįmanoma gauti mokėjimo informacijos modelio."
"Can not retrieve payment method instance","Neįmanoma gauti mokėjimo metodo pavyzdžio"
"Can not retrieve payment method model object.","Negalima gauti mokėjimo objekto metodo modelio."
"Card Verification Number","Kortelės patikrinimo kodas"
"Check / Money order","Čekis/Pinigų orderis"
"Credit Card Number","Kreditinės kortelės numeris"
"Credit Card Number: %s","<strong>Kreditinės kortelės numeris:</strong> <span class=""nowrap"">%s</span>"
"Credit Card Number: xxxx-%s","<strong>Kreditinės kortelės numeris:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Kreditinės kortelės tipas"
"Credit Card Type: %s","<strong>Kreditinės kortelės tipas:</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Kreditinės kortelės tipas"
"Credit Card Verification","Kreditinės kortelės Patikrinimas"
"Enabled","Įjungta"
"Expiration Date","Galiojimo pabaigos laikas"
"Expiration Date: %s/%s","Galiojimo pasibaigimo data: %s/%s"
"Make Check payable to","Čekio gavejas"
"Make Check payable to: %s","Čekio gavėjas: %s"
"Maximum Order Total","Maksimalus užsakymo iš viso"
"Minimum Order Total","Minimalus užsakymo iš viso"
"Month","Mėnuo"
"Name on Card","Vardas ant Kortelės"
"Name on the Card: %s","<strong>Vardas ant kortelės:</strong> <span class=""nowrap"">%s</span>"
"New order status","Naujo užsakymo būklė"
"Payment Methods","Mokėjimo būdas"
"Payment Methods Section","Mokėjimo būdų skyrius"
"Payment from Specific countries","Apmokėjimas iš Specifinių šalių"
"Payment from applicable countries","Apmokėjimas iš taikomų šalių"
"Purchase Order Number","Užsakymo numeris"
"Purchase Order Number: %s","<strong>Užsakymo numeris:</strong> <span class=""nowrap"">%s</span>"
"Purchase order","Pirkimo užsakymas"
"Saved CC","Išsaugotas CC"
"Send Check to","Siųsti Čekį kam"
"Send Check to:","Siųsti Čekį kam:"
"Sort order","Rūšiavimo tvarka"
"Title","Pavadinimas"
"What is this?","Kas tai?"
"Year","Metai"
"Zero Subtotal Checkout","Nulinė tarpinė suma"
