"1 star","1 Žvaigždutė"
"2 stars","2 Žvaigždutės"
"3 stars","3 Žvaigždutės"
"4 stars","4 Žvaigždutės"
"5 stars","5 Žvaigždutės"
"Add New Rating","Naujas vertinimas"
"Assigned Options","Pasirinktas Nustatymas"
"Be the first to review this product","Būkite pirmas apžvalgininkas"
"Default Value","Pagrindinė reikšmė"
"Delete Rating","Šalinti vertinimus"
"Edit Rating","Redaguoti vertinimą"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Jei jūs nepasirinksite reitingo pavadinimo parduotuvei, bus naudojama numatytoji reikšmė."
"Manage Ratings","Manage Ratings"
"New Rating","Naujas vertinimas"
"Option Label","Pasirinkimo Etiketė"
"Option Title","Pasirinkimo pavadinimas"
"Option Title:","Pasirinkimo pavadinimas:"
"Please select one of each ratings above","Prašom išrinkti vieną iš reitingų"
"Rating Information","Vertinimų informacija"
"Rating Name","Vertinimo pavadinimas"
"Rating Options","Vertinimo parinktys"
"Rating Title","Vertinimo pavadinimas"
"Rating Visibility","Reitingo Matomas"
"Rating isn't Available","Reitingas nerodomas"
"Rating with the same title","Reitingas su ta pačia antrašte"
"Save Rating","Išsaugoti vertinimą"
"Visible In","Matoma"
