"%d Review(s)","%d Apžvalga(os)"
"%s Review(s)","%s Apžvalga(os)"
"(Posted on %s)","(Įrašyta %s)"
"1 star","1 Žvaigždutė"
"2 stars","2 Žvaigždutės"
"3 stars","3 Žvaigždutės"
"4 stars","4 Žvaigždutės"
"5 stars","5 Žvaigždutės"
"Add New Review","Pridėti naują aprašymą"
"Add Your Review","Sukurti apžvalgą"
"Administrator","Administratorius"
"All Reviews","Visos apžvalgos"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Ar esate tikras?"
"Are you sure?","Ar jūs tikras?"
"Average Customer Rating","Vidutinis klientų vertinimas"
"Average Customer Rating:","Vidutinis klientų vertinimas:"
"Back","Atgal"
"Back to Main Product Info","Atgal"
"Back to My Reviews","Atgal"
"Back to Product Reviews","Atgal"
"Be the first to review this product","Būkite pirmas aprašęs šią prekę"
"Created On","Sukurta"
"Customer","Klientas"
"Customer Reviews","Klientų apžvalgos"
"Delete","Šalinti"
"Delete Review","Šalinti apžvalgą"
"Detailed Rating","Detalus vertinimas"
"Edit Review '%s'","Keisti vertinimą '%s'"
"Guest","Svečias"
"How do you rate this product?","Kaip įvertintumėte šią prekę?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Mano prekių apžvalgos"
"My Recent Reviews","Mano naujausios apžvalgos"
"Name","Vardas"
"Name In Store","Parduotuvės pavadinimas"
"New Review","Nauji aprašymai"
"Nickname","Slapyvardis"
"Pending Reviews","Laukiančios apžvalgos"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Prašome pasirinkti prekę"
"Please select one of each of the ratings above","Prašome pasirinkti vieną iš vertinimų aukščiau"
"Posted By","Parašė"
"Price","Kaina"
"Product","Prekės"
"Product Name","Prekės pavadinimas"
"Product Rating","Prekės vertinimas"
"Product Rating:","Prekės vertinimas:"
"Product Review (submitted on %s):","<strong>Prekės apžvalga</strong> (pateikta %s):"
"Product Reviews","Prekės apžvalgos"
"Product SKU","Prekės SKU"
"Qty","Vnt."
"Rating:","Vertinimas:"
"Review","Apžvalga"
"Review Details","Apžvalga"
"Review by %s"," <em>%s</em>"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","Išsaugoti apžvalgą"
"Status","Būsena"
"Submit Review","Siųsti Apžvalgą"
"Summary Rating","Vertinimo suvestinė"
"Summary of Review","Apžvalgų suvestinė"
"Summary of Your Review","Jūsų apžvalgos antraštė"
"Summary of review","Apžvalgų suvestinė"
"Title","Pavadinimas"
"Type","Tipas"
"Unable to post review. Please, try again later.","Nepavyko paskelbti apžvalgos. Prašome pabandyti vėliau."
"Update status","Atnaujinti statusą"
"View All Reviews","Peržiūrėti visas apžvalgas"
"View Details","Peržiūrėti detales"
"Visible In","Matoma"
"Websites","Websites"
"Write Your Own Review","Parašyti savo apžvalgą"
"You have submitted no reviews.","Jūs nepateikėte apžvalgų."
"You're reviewing: %s","Jūsų apžvalgos: %s"
"Your Rating:","Jūsų vertinimas:"
"Your Review (submitted on %s):","<strong>Jūsų vertinimas</strong> (pateikta %s):"
"Your review has been accepted for moderation","Jūsų apžvalga priimta moderavimui"
"OR","AR"
"My Product Reviews","My Product Reviews"
