"Abandoned carts","Palikti krepšelyje"
"Action","Action"
"Add to Cart","Į krepšelį"
"Add to Compare","Į palyginimus"
"Add to Wishlist","Į Pažymėtų sąrašą"
"Applied Coupon","Naudoti Kuponai"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Geriausiai Perkami"
"Bought from wishlists","Nupirkta iš Pažymėtų sąrašo"
"CSV","CSV"
"Carrier/Method","Vežėjas/Metodas"
"Carts","Krepšeliai"
"Coupons","Kuponai"
"Created at","Sukurta "
"Customer","Klientas"
"Customer Name","Pirkėjo vardas"
"Customer Tags","Kliento žymės"
"Customers","Klientai"
"Customers Report","Klientų pranešimai"
"Customers Reviews","Klietų aprašymai"
"Customers Tags","Klientų žymės"
"Customers by number of orders","Klientai pagal pirkimų skaičių"
"Customers by orders total","Klientai pagal pirkimų sumą"
"Customers that have wishlist: %s%","Klientai,turintys Pažymėtųjų sąrašą: %s%"
"Day","Diena"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Detalės"
"Discounts","Nuolaida"
"Downloads","Downloads"
"Email","El.paštas"
"Excel","Ekselis"
"First Name","Vardas"
"Guest","Svečias"
"Hits","Paspaudimai"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Išrašyta sąskaita"
"Items Ordered","Užsakyta prekių"
"Items in Cart","Prekių krepšelyje"
"Last Name","Pavardė"
"Last Review","Paskutinė apžvalga"
"Link","Link"
"Low stock","Mažas kiekis"
"Month","Mėnesis"
"Most Viewed","Daugiausia Rodyta"
"Most viewed","Daugiausia rodyta"
"Name","Vardas"
"New Accounts","Nauja paskyra"
"Number Added","Skaičius pridėtas"
"Number Fulfilled","Įvykdytas Skaičius"
"Number Of Historical Uses","Atminties Naudojimo apimtis"
"Number Of Reviews","Apžvalgų kiekis"
"Number Of Uses","Kiek naudota"
"Number Purchased","Mokėjimų skaičius"
"Number Viewed","Žiūrėta"
"Number of Items","Įrašų skaičius"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Naujų paskyrų skaičius"
"Number of Orders","Užsakymų skaičius"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Apžvalgų kiekis"
"Number of Total Tags","Visų žymių kiekis"
"Number of Unique Tags","Unikalių žymių skaičius"
"Number of Views","Rodyta kartų"
"Number of items bought from a wishlist: %s","Prekių kiekis nupirktas iš Pažymėtų sąrašo: %s"
"Number of times deleted","Skaičius kiek kartų ištrinta"
"Number of times wishlists have been shared (emailed): %s","Kiek kartų buvo pasidalinta savo Pažymėtų sąrašu (išsiųsta el.paštu): %s"
"Number of wishlist conversions: %s","Pažymėtų sąrašo pasikeitimas: %s"
"Number of wishlist referrals: %s","Pažymėtų sąrašo siuntimo kiekis: %s"
"Number of wishlists: %s","Pažymėtų sąrašų kiekis: %s"
"Offline Refunded","Autonomiškai Sugrąžintas"
"Online Refunded","Tinkle Sugrąžintas"
"Orders","Užsakymai"
"Out of stock","Pasibaigė"
"Poducts Report","Prekių pranešimai"
"Popular Tags","Populiarios žymės"
"Popularity","Populiarumas"
"Price","Kaina"
"Product Name","Prekės pavadinimas"
"Product Reviews","Prekės apžvalgos"
"Product Sku","Prekės Sku"
"Product Tags","Prekės žymės"
"Products","Prekės"
"Products Report","Prekių pranešimai"
"Products Reviews","Prekių aprašymai"
"Products Sold","Products Sold"
"Products Tags","Prekių žymės"
"Products in carts","Prekių krepšelyje"
"Purchases","Purchases"
"Quantity Ordered","Užsakytas Kiekis"
"Quantity of Items","Įrašų kiekis"
"Rate","Rate"
"Recently Compared Products","Palygintos Prekės"
"Recently Viewed Products","Žiūrėtos prekės"
"Recently Viewed/Compared Products","Žiūrėtos/Palygintos Prekės"
"Refunded","Grąžinta"
"Reports","Pranešimai"
"Results","Rezultatai"
"Revenue","Pajamos"
"Review","Apžvalga"
"Reviews","Apžvalgos"
"Reviews for %s","Reviews for %s"
"Sales","Pardavimai"
"Sales Report","Pardavimų pranešimai"
"Search Terms","Ieškoti"
"Shipping","Pristatymas"
"Shopping Cart","Krepšelis"
"Show for Current","Rodyti esamą"
"Stock Qty","Likučio kiekis"
"Submitted In","Įkelta į"
"Submitted On","Įkelta"
"Subtotal","Tarpinė suma"
"Tag","Žymės"
"Tag ""%s"" details","Žymės ""%s"" informacija"
"Tag Detail","Žymės detalės"
"Tag Name","Žymės pavadinimas"
"Tag use","Žymė naudojama"
"Tags submited by %s","Žymę įrašė %s"
"Tags submitted to %s","Žymė skirta %s"
"Tax","Mokesčiai"
"Tax Amount","Mokesčių suma"
"Title","Pavadinimas"
"Total","Viso"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Viso grąžinta"
"Total Shipping","Viso pristatyta"
"Total Tags","Viso žymių"
"Total invoiced","Viso sąskaitų"
"Total refunded","Viso grąžinta"
"Updated at","Atnaujinta"
"Visible In","Matoma"
"Wishlist Report","Pažymėtų sąrašo pranešimai"
"Wishlist vs. Regular Order","Pažymėta prieš Užsakymą"
"Wishlists","Pažymėti sąrašai"
"Year","Metai"
"Your Recently Compared","Jūs Neseniai Palyginote"
"Your Recently Viewed","Jūs Neseniai Žiūrėjote"
