"%s already exist","%s jau yra"
"%s already exists","%s jau yra"
"-- Please Select --","-- Pasirinkite --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Išplėstas"
"Allow countries","Galimos Šalys"
"Allowed IPs (comma separated)","Leidžiamas IP (skiriame kableliu)"
"Are you sure?","Ar esate tikras?"
"Back","Atgal"
"Backup options","Backup options"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Pagrindinis nuorodų URL"
"Base Media URL","Pagrindinis Media URL"
"Base Skin URL","Pagrindinis Šablono URL"
"Base URL","Pagrindinis URL"
"Before modifying the store view code please make sure that it is not used in index.php","Prieš parduotuvės vaizdo kodo pakeitimą prašome įsitikinti, kad tai nėra naudojama index.php"
"Before modifying the website code please make sure that it is not used in index.php","Prieš svetainės kodo pakeitimą prašom įsitikinti, kad tai nėra naudojama index.php"
"Block with name ""%s"" already exists","Blokas pavadintas ""%s"" jau yra"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Negalima atkurti objekto"
"Can't retrieve entity config: %s","Neįmanoma atkurti vientiso konfigūravimo: %s"
"Cancel","Atšaukti"
"Cannot Delete Email Template","Neįmanoma pašalinti el. pašto šablono"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Kodas"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Kontrolieriaus rinkmena buvo įkelta, bet klasės nėra"
"Cookie Domain","Slapuko Domenas"
"Cookie Lifetime","Slapuko Galiojimas"
"Cookie Path","Slapuko Kelias"
"Copyright","Copyright"
"Countries options","Šalių Nustatymai"
"Create Store","Sukurti parduotuvę"
"Create Store View","Sukurti Išvaizdą"
"Create Website","Sukurti tinklapį"
"Current package name","Naudojamo paketo vardas"
"Custom Design","Specialus Dizainas"
"Custom admin URL","Custom admin URL"
"Custom email 1","Specialus el.paštas 1"
"Custom email 2","Specialus el.paštas 1"
"Customer support","Pagalba"
"Date From","Data Nuo"
"Date To","Data Iki "
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Tikrinti"
"Default","Pagrindinis"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","Pagrindiniai Puslapiai"
"Default Robots","Default Robots"
"Default Store","Pagrindinė parduotuvė"
"Default Store View","Pagrindinė Išvaizda"
"Default Title","Default Title"
"Default country","Pagrindinė Šalis"
"Default no-route url","Pagrininis no-route url"
"Default web url","Pagrindinis Tinklapio url"
"Delete","Šalinti"
"Delete Store","Šalinti parduotuvę"
"Delete Store View","Šalinti Parduotuvės Vaizdą"
"Delete Website","Šalinti svetainę"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Dizainas"
"Design Change","Dizaino Pakeitimas"
"Developer","Programuotojams"
"Developer Client Restrictions","Programuotojo Apribojimai"
"Disable email communications","Atjungti el.pašto pranešimus"
"Disable modules output","Išjungti modulius"
"Duplicate Of Template Code","Dublikuotas šablono kodas"
"Edit Design Change","Keisti Dizainą"
"Edit Store","Redaguoti parduotuvę"
"Edit Store View","Keisti parduotuvės vaizdą"
"Edit Website","Redaguoti svetainę"
