"# of Use","# iš Esamų"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s prekė(s)"
"(Copy data from: %s)","(Kopijuoti duomenis iš: %s)"
"(Will make search for the query above return results for this search.)","(Paiešką virš paieškos rezultatų.)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Pasirinkite --"
"A name is required","Vardas yra privalomas"
"ALL GROUPS","Visos Grupės"
"AM","AM"
"Action","Veiksmas"
"Add Attribute","Pridėti savybę"
"Add Design Change","Naujas Dizainas"
"Add Group","Pridėti grupę"
"Add Items to Cart","Pridėti prekę į krepšelį"
"Add New","Pridėti naują"
"Add New Attribute","Pridėti naują savybę"
"Add New Attribute Set","Pridėti naują savybių rinkinį"
"Add New Group","Pridėti naują grupę"
"Add New Images","Naujas Vaizdas"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Nauja Paieškos Reikšmė"
"Add New Set","Pridėkite Naują Komplektą"
"Add Option","Pridėti Pasirinkimą"
"Add Product","Pridėti Prekę"
"Add Product To Websites","Add Product To Websites"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Naujas variantas"
"Add to Cart","Į krepšelį"
"Add to Compare","Palyginti"
"Add to My Wishlist","Į Pažymėtų sąrašą"
"Add to Wishlist","Pažymėti"
"Additional Information","Papildoma informacija"
"All","Visi"
"All Product Types","Visi Prekių Tipai"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","Pritaikyti"
"Apply To Configurable/Grouped Product","Pritaikyti Keičiamoms/Grupuotoms prekėms"
"Approved","Patvirtinta"
"Are you sure you want to delete this category?","Ar tikrai norite pašalinti šią kategoriją?"
"Are you sure you would like to remove all products from your comparison?","Ar tikrai norite pašalinti prekes iš palyginamųjų sąrašo?"
"Are you sure you would like to remove this item from the compare products?","Are you sure you would like to remove this item from the compare products?"
"Are you sure?","Ar esate tikras?"
"As low as:","Mažiau Nei:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Kitos prekės"
"Attrib. Set Name","Sav. Pavadinimas"
"Attribute Code","Savybės kodas"
"Attribute Information","Savybės informacija"
"Attribute Label","Savybės kortelė"
"Attribute Model","Savybės modelis"
"Attribute Name:","Savybės pavadinimas:"
"Attribute Properties","Savybės ypatybės"
"Attribute Set","Savybių Komplektas"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Savybės modelis neapibrėžtas"
"Attribute with the same code already exists","Savybė su tokiu pačiu kodu jau yra"
"Attributes","Savybės"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Sugeneruoti automatiškai"
"Availability","Availability"
"Availability: In stock.","Būsena: Prekyboje."
"Availability: Out of stock.","Būsena: Prekyboje nėra."
"Back","Atgal"
"Backend Model","Backend Modelis"
"Backend Table","Backend Lentelė"
"Backend Table Title","Backend Lentelės pavadinimas"
"Backorders","Rezervavimas"
"Base directory to upload image file is not specified","Pagrindinė direktorija, vaizdų įkėlimui nėra nurodyta"
"Based On","Pagrįstas"
"Best Value","Geriausia kaina"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Apačia/Kairėje"
"Bottom/Right","Apačia/Dešinėje"
"Browse By","Ieškoti pagal"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Can be used only with catalog input type Dropdown","Gali būti panaudotas tiktai su katalogo įvesties tipu Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Gali būti panaudotas tiktai su katalogo įvesties tipu Dropdown, Multiple Select ir Price"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Krepšelio savybės"
"Catalog","Katalogas"
"Catalog Input Type for Store Owner","Katalogo įvesties tipas Parduotuvės savininkui"
"Catalog Price Scope","Katalogo Kainų Ribos"
"Catalog Section","Catalog Section"
"Catalog, Search","Katalogas, paieška"
"Categories","Kategorijos"
"Categories Sitemap","Kategorijų struktūra"
"Category","Kategorija"
"Category API","Category API"
"Category Data","Kategorijos duomenys"
"Category Navigation:","Kategorijos navigacija:"
"Category Products","Prekių kategorija"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Kategorijos šalinimo klaida"
"Category deleted","Kategorija pašalinta"
"Category move error","Kategorijos perkėlimo klaida"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Kategorija išsaugota"
"Change","Pakeitimas"
