"%s and greater","%s ir daugiau"
"Advanced Search","Išsami paieška"
"All","VISI"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Sugeneruoti tinklapio struktūrą"
"Catalog Advanced Search","Išsami paieška"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Ieškoti kito?"
"Go","Go"
"Go to Home Page","Į Pirmą"
"Grid","Tinklelis"
"Home","Pirmas"
"List","Sąrašas"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Spauskite čia"
"No","No"
"No items were found using the following search criteria.","Pagal nurodytus parametrus nieko nerasta. <a href='http://www.jusu-domenas.lt/contacts/'>Parašykite mums ko ieškote</a>. Norėdami papildyti paiešką "
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Populiarūs Paieškos Žodžiai"
"Popular search terms","Populiarūs paieškos žodžiai"
"Relevance","Relevance"
"Required Fields","Privalomas laukelis"
"Results","Rezultatai"
"Search","Ieškoti"
"Search Settings","Paieškos Nustatymai"
"Search Site","Ieškoti Svetainėje"
"Search Terms","Ieškoti frazės"
"Search Type","Search Type"
"Search entire store here...","Paieška..."
"Search results for '%s'","Rasta '%s'"
"Search results for: '%s'","Rasta: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Nėra ieškomu frazių."
"Yes","Yes"
"You have to specify at least one search term","Pasirinkite bent vieną paieškos frazę"
"Your search returns no results.","Nieko nerasta. <a href='http://www.jusu-domenas.lt/contacts/'>Parašykite mums ko ieškote</a>."
"up to %s","iki %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d įrašas (-ai)</strong> rastas pagal pasirinktus parametrus"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
