" Copy"," Kopija"
"Action","Veiksmas"
"Add New Template","Pridėti naują šabloną"
"Add to Queue","Pridėti į eilę"
"Are you sure that you want to delete this template?","Ar tikrai norite pašalinti šį šabloną?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Back","Atgal"
"Cancel","Atšaukti"
"Cancelled","Atšaukta"
"Cannot delete subscriber","Negalima pašalinti prenumeratoriaus"
"Cannot delete template","Neįmanoma pašalinti šablono"
"Cannot mark as received subscriber","Neįmanoma pažymėti kaip priimta prenumeratorius"
"Cannot save your subscription: %s","Negalima išsaugoti prenumeratos: %s"
"Confirmation Email Sender","Patvirtinimo el.pašto Siuntėjas"
"Confirmation Email Template","Patvirtinimo el.pašto Šablonas"
"Confirmation request has been sent","Patvirtinimo užklausa buvo nusiųsta"
"Convert to Plain Text","Konvertuoti į paprastą tekstą"
"Create Newsletter Template","Sukurti naujienlaiškio šabloną"
"Customer","Klientas"
"Customer Firstname","Kliento vardas"
"Customer Lastname","Kliento Pavardė"
"Date Added","Data pridėta"
"Date Updated","Data atnaujinta"
"Delete Selected Problems","Šalinti pasirinktas problemas"
"Delete Template","Šalinti šabloną"
"Do you really want to cancel the queue?","Ar tikrai norite atšaukti eilę?"
"Duplicate of template code","Dubliuojasi šablono kodas"
"Edit Newsletter","Redaguoti naujienlaiškį"
"Edit Newsletter Template","Redaguoti naujienlaiškio šabloną"
"Edit Queue","Redaguoti eilę"
"Edit Template","Redaguoti šabloną"
"Email","El.paštas"
"Enter your email address","Enter your email address"
"Error Code","Klaidos kodas"
"Error Text","Klaidos tekstas"
"Form was filled incorrectly","Neteisingai užpildyta forma"
"Guest","Svečias"
"ID","ID"
"Invalid queue selected","Klaidingas eilutės pasirinkimas"
"Invalid subscriber ID","Klaidingas prenumeratoriaus ID"
"Invalid subscription ID","Klaidingas prenumeratos ID"
"Invalid subscription confirmation code","Neteisingas prenumeratos patvirtinimo kodas"
"Message","Žinutė"
"Need to Confirm","Reikia patvirtinimo"
"New Newsletter Template","Naujas naujienlaiškio šablonas"
"New Template","Naujas šablonas"
