"* Select shipping method","* Išrinkite pristatymo metodą"
"AVS Status: %s","AVS Būklė: %s"
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"Allowed Methods","Allowed Methods"
"Amount: %s","Suma: %s"
"Auto-generated from GoogleCheckout Charge","Sugeneruoti iš GoogleCheckout sąskaitos"
"Buyer account age: %s days","Pirkėjo paskyros  laikas: %s dienos"
"CC Partial: xxxx-%s","CC Dalis: xxxx-%s"
"CID Status: %s","CID būklė: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"Cart Discount","Nuolaida"
"Checkout Image Style","Pirkimo vaizdo stilius"
"Continue Shopping URL","Tęsti Apsipirkimą URL"
"Debug","Derinti"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Default price:","Pagrindinė kaina:"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","Tinkamas apsaugai: %s"
"Enable","Įjungta"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","Pabaiga: %s"
"Financial: %s -> %s","Finansinis: %s -> %s"
"Free Shipping","Free Shipping"
"Fulfillment: %s -> %s","Užpildytas: %s -> %s"
"Google API","Googles API"
"Google Authorization:","Googles Autorizacija:"
"Google Buyer Id: %s","Googles Pirkėjo Id: %s"
"Google Charge:","Google Sąskaita:"
"Google Checkout","Google Pirkimas"
"Google Checkout Shipping - Carrier Calculated","Google Pirkimo Pristatymas - Vežėjo apskaičiavimai"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Pirkimo Pristatymas - Pastovi norma"
"Google Checkout Shipping - Merchant Calculated","Google Pirkimo Pristatymas - Pardavėjo paskaičiavimai"
"Google Checkout: %s","Google Kasa: %s"
"Google Order Number: %s","Google Užsakymo Numeris: %s"
"Google Refund:","Google Grąžinta:"
"Google Risk Information:","Google Rizikos informacija:"
"Google order status change:","Google užsakymo būklės pakeitimas:"
"Hide Cart Contents During Checkout","Paslėpti krepšelio turinį  per mokėjimą"
"IP Address: %s","IP Adresas: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","Sąskaita sukurta: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Large - %s"
"Latest Charge: %s","Nauja kaina: %s"
"Latest Refund: %s","Naujas grąžinimas: %s"
"Location","Vieta"
"Medium - %s","Medium - %s"
"Merchant ID","Pardavėjo ID"
"Merchant Key","Pardavėjo Raktas"
"Method","Method"
"New order status","Nauja užsakymo būklė"
"No","No"
"Optional, leave empty for home page.","Nebūtina, palikite tusčia jei į Pirmą puslapį."
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Sandbox","Dėžė"
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Total Charged: %s","Viso apmokėta: %s"
"Total Refunded: %s","Viso grąžinta: %s"
"Transparent","Transparent"
"United Kingdom","United Kingdom"
"United States","United States"
"Virtual item to reflect discount total","Virtualus įrašas, kad parodyti bendrą nuolaidą"
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
