"Billing Information","Mokėtojo adresas"
"Change Payment Method","Pakeisti mokėjimo būdą"
"Change Shipping Address","Pakeisti pristatymo adresą"
"Edit Shopping Cart","Redaguoti pirkinių krepšelį"
"Email","El. paštas"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Prekės Jūsų krepšelyje"
"No shipping method required.","No shipping method required."
"PayPal Account","PayPal sąskaita"
"PayPal Email","PayPal Email"
"Payment Method","Mokėjimo būdas"
"Place an Order","Pateikti užsakymą"
"Please select a shipping method...","Pasirinkite pristatymo būdą.."
"Price","Kaina"
"Product Name","Prekės pavadinimas"
"Qty","Vnt"
"Review Order","Apžvelgti užsakymą"
"Shipping Address","Pristatymo adresas"
"Shipping Information","Pristatymo informacija"
"Shipping Method","Pristaymo būdas"
"Sorry, no quotes are available for this order at this time.","Atsirašome šiuo metu nenustatyta kaina jūsų užsakymui."
"Submitting order information...","Siunčiama užsakymo informacija..."
"Subtotal","Tarpinė suma"
"Update Shipping Method","Atnaujinti pristatymo būdą"
"You will be redirected to PayPal website when you place an order.","You will be redirected to PayPal website when you place an order."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Your billing address will be ignored and you will be redirected to PayPal website"
