"Actions","פעולות"
"Active","פעיל"
"Add New Rule","הוסף חק"
"Apply","הפעל/אשר"
"Apply the rule only if the following conditions are met (leave blank for all products)","הפעל חוק בתנאים הבאים (השאר ריק להפעלה על כל המוצרים)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","הפעל חוק על פריטי העגלה שתואמים את התנאים הבאים (השאר ריק להפעלה על כל הפריטים)"
"Apply the rule to cart items matching the following conditions","הפעל חוק על פריטי העגלה שתואמים את התנאים הבאים"
"Apply to","הפעל/אשר על"
"Buy X get Y free (discount amount is Y)","קנה X קבל Y בחינם (ההנחה היא Y)"
"By Fixed Amount","לפי כמות קבועה"
"By Fixed value","לפי ערך קבוע"
"By Percentage","לפי אחוזים"
"By Percentage of the original price","לפי אחוז מהמחיר המקורי"
"Cart Attribute","תכונות עגלת קניות"
"Catalog","קטלוג"
"Conditions","תנאים"
"Conditions combination","שילוב תנאים"
"Coupon Code","קוד קופון"
"Coupon code","קוד קופון"
"Customer Groups","קבוצות קונים"
"Customer is new buyer: %s","הלקוח הוא קונה חדש: %s"
"Customer registered: %s","לקוח נרשם: %s"
"Date Expire","תאריך פג תוקף"
"Date Start","תאריך התחלה"
"Delete Rule","מחק חוק"
"Description","תיאור"
"Description: %s","תיאור: %s"
"Discount Qty Step (Buy X)","מדרגת הנחה לכמות (קנה X)"
"Discount amount","גובה/כמות הנחה"
"Edit Rule","ערוך חוק"
"Edit Rule '%s'","ערוך חוק '%s'"
"Expire at: %s","פג תוקף ב: %s"
"Fixed amount discount","הנחה לכמות קבועה"
"Fixed amount discount for whole cart","הנחה לכמות קבועה - לכל העגלה"
"For matching items only","לפריטים תואמים בלבד"
"For shipment with matching items","עבור משלוח עם כתובות תואמות"
"Free shipping","שילוח חינם"
"From Date","מתאריך"
"General Information","מידע כללי"
"ID","קוד/ת.ז/זיהוי"
"Inactive","לא פעיל"
"Maximum Qty Discount is Applied to","Maximum Qty Discount is Applied to"
"NOT LOGGED IN","לא מחובר"
"Name: %s","שם: %s"
"New Rule","חוק חדש"
"No","לא"
"Payment Method","שיטת התשלום"
"Percent of product price discount","אחוז הנחה ממחיר המוצר"
"Price in cart","מחיר לסל"
"Priority","עדיפות/מועדף"
"Product attribute combination","קומבינציה של תכונות מוצר"
"Products subselection","תתי בחירות של מוצרים"
"Promotions","מבצעים"
"Public In RSS Feed","פומבי בהזנת RSS"
"Quantity in cart","כמות בעגלת הקניות"
"Row total in cart","סה""כ פריטים לסל"
"Rule Information","מידע על חוק"
"Rule Name","שם חוק"
"Rule was successfully deleted","החוק נמחק בהצלחה"
"Rule was successfully saved","החוק נשמר בהצלחה"
"Save Rule","שמור חוק"
"Shipping Country","ארץ המשלוח"
"Shipping Method","שיטת שילוח"
"Shipping Postcode","שילוח - מיקוד"
"Shipping Region","שילוח - איזור"
"Shipping State/Province","שילוח - מדינה/מחוז"
"Shopping Cart Price Rule","עגלת קניות - חוקי מחיר"
"Shopping Cart Price Rules","עגלת קניות - חוקי מחיר"
"Special price","מחיר מבצע"
"Start at: %s","מתחיל ב: %s"
"Status","מצב"
"Stop further rules processing","הפסק הפעלת חוקים נוספים"
"Subtotal","סך ביניים"
"The page you are trying to save no longer exists","העמוד שאתה מנסה לשמור לא קיים יותר"
"This rule no longer exists","חוק זה לא קיים יותר"
"To Date","עד לתאריך"
"To Fixed Amount","עד כמות"
"To Fixed Value","עד ערך"
"To Percentage","עד אחוז"
"To Percentage of the original price","עד לאחוז מהמחיר המקורי"
"Total Items Quantity","סה""כ כמות פריטים"
"Total Weight","סה""כ משקל"
"Unable to find a page to delete","לא נמצא עמוד למחיקה"
"Update prices using the following information","עדכן מחירים באמצעות שימוש במידע הבא"
"Update product's %s %s: %s","עדכן מוצר %s %s: %s"
"Update the Product","עדכן מוצר"
"Uses per coupon","שימושים פר קופון"
"Uses per customer","שימושים פר לקוח"
"Yes","כן"
