"Add Recipient","הוסף נמען"
"Allow for Guests","אפשר לאורחים"
"Email Address","כתובת אי-מייל"
"Email Address:","אימייל:"
"Email templates","תבניות אימייל"
"Email to a Friend","שלח לחבר"
"Email:","אימייל:"
"Enabled","פעיל"
"Limit Sending By","הגבל שליחת מייל ב"
"Link to a friend was sent.","קישור לחבר נשלח"
"Max Products Sent in 1 Hour","מספר מוצרים מקסימלי שנשלח בשעה אחת"
"Max Recipients","מקסימום נמענים/מקבלים"
"Maximum %d email addresses allowed.","מקסימום %d כתובות אימייל מורשה."
"Message:","הודעה:"
"Name","שם"
"Name:","שם:"
"Recipient:","נמען/מקבל:"
"Remove Email","הסר אימייל"
"Select email template","בחר תבנית אמייל"
"Send email","שלח אימייל"
"Send product to a friend","שלח מוצר לחבר"
"Sender:","השולח:"
"Some emails was not sent","חלק מהאימיילים לא נשלחו"
"Some problems with data.","כמה בעיות עם הנתונים."
"You cannot email this product to a friend","אינך יכול לשלוח את המוצר הזה לחבר באימייל"
"You cannot send more than %d times in an hour","You cannot send more than %d times in an hour"
