"# of Use","# שימוש"
"%1$s incl tax.","%1$s כולל מס."
"%s - %s","%s - %s"
"%s Item(s)","%s מוצר(ים)"
"(Copy data from: %s)","(העתק נתונים מ: %s)"
"(Will make search for the query above return results for this search.)","(חיפוש עבור השאילתה מעל לתוצאות החיפוש הקיים.)"
"* Required Fields","* שדות חובה"
"-- Please Select --","-- בחר מהרשימה --"
"A name is required","נדרש שם"
"ALL GROUPS","כל הקבוצות"
"AM","AM"
"Action","פעולה"
"Add Attribute","הוסף מאפיין"
"Add Design Change","הוסף שינוי עיצוב"
"Add Group","הוסף קבוצה"
"Add Items to Cart","הוסף פריטים לסל"
"Add New","הוסף חדש"
"Add New Attribute","הוספת תיאור חדש"
"Add New Attribute Set","סט תכונות נוסף"
"Add New Group","קבוצה חדשה"
"Add New Images","הוסף תמונות חדשות"
"Add New Option","הוסף אופציה"
"Add New Row","הוסף שורה"
"Add New Search Term","מונח חיפוש חדש"
"Add New Set","סט חדש"
"Add Option","הוסף אפשרות"
"Add Product","הוסף מוצר"
"Add Product To Websites","הוסף מוצר לאתרים"
"Add Root Category","הוסף קטגוריית בסיס"
"Add Subcategory","הוסף קטגוריית משנה"
"Add Tax","הוסף מס"
"Add Tier","הוסף שכבה"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to My Wishlist","הוסף לרשימת החלומות"
"Add to Wishlist","הוסף לרשימת 'אני רוצה גם'"
"Additional Information","מידע נוסף"
"All","הכל"
"All Product Types","כל סוגי המוצרים"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","כל המוצרים של סט זה ימחקו! האם למחוק את סט התכונות?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","סיומות קבצים מורשות"
"Allowed file extensions to upload","סיומות קבצים מורשות להעלאה לשרת"
"Amount","Amount"
"Apply To","הפעל/אשר על"
"Apply To Configurable/Grouped Product","הפעל על מוצר מקובץ/שעבר שינויים"
"Approved","מאושר"
"Are you sure you want to delete this category?","האם למחוק את הקטגוריה?"
"Are you sure you would like to remove all products from your comparison?","האם להסיר את כל המוצרים ממנגנון השוואת המוצרים?"
"Are you sure you would like to remove this item from the compare products?","האם להסיר פריט זה ממנגנון השוואת המוצרים?"
"Are you sure?","האם אתה בטוח?"
"As low as:","נמוך עד לרמה של:"
"Assign","הפעל שיוך"
"Assign product link","שייך לינק למוצר"
"Assign product to category","שייך מוצר לקטגוריה"
"Assigned Products","מוצרים משוייכים"
"Associated Products","מוצרים משויכים"
"Attrib. Set Name","מאפיין - קבע שם"
"Attribute Code","מאפיין - קוד"
"Attribute Information","תכונה - מידע"
"Attribute Label","מאפיין - תוית"
"Attribute Model","תכונה - מודל"
"Attribute Name:","שם תכונה:"
"Attribute Properties","מאפיין - תכונות"
"Attribute Set","סט תכונות"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","מאפיין - מודל לא נקבע"
"Attribute with the same code already exists","מאפיין עם קוד זהה כבר קיים"
"Attributes","תכונות"
"Attrribute names can be specified per store.","שמות תכונה יכולים להקבע פר חנות"
"Autogenerate","צור אוטומטית"
"Availability","Availability"
"Availability: In stock.","זמינות: במלאי"
"Availability: Out of stock.","זמינות: אין במלאי"
"Back","חזור"
"Backend Model","מודל צד אחורי"
"Backend Table","טבלת צד אחורי"
"Backend Table Title","כותרת טבלת צד אחורי"
"Backorders","הזמנות בחוסר מלאי"
"Base directory to upload image file is not specified","Base directory to upload image file is not specified"
"Based On","מבוסס על"
"Best Value","הערך הגבוה ביותר"
"Block after Info Column","בלוק לאחר עמודת מידע"
"Bottom/Left","למטה/משמאל"
"Bottom/Right","למטה/מימין"
"Browse By","דפדף לפי"
"Buy %1$s for %2$s","קנה %1$s עבור %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","קנה %1$s עבור %2$s (כולל מס %3$s) ליחידה"
"Buy %1$s for %2$s each","קנה %1$s עבור %2$s ליחידה"
"Can be used only with catalog input type Dropdown","ניתן להשתמש רק עם קלט קטלוג מסוג Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","ניתן להשתמש רק עם קלט קטלוג מסוג Dropdown, בחירה מרובה ומחיר"
"Can't create image.","לא יכול ליצור תמונה."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","תכונות פריט בעגלה"
"Catalog","קטלוג"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Catalog Price Scope","טווח תמחור לקטלוג"
"Catalog Section","איזור - קטלוג"
"Catalog, Search","קטלוג, חיפוש"
"Categories","קטגוריות"
"Categories Sitemap","מפת אתר לקטגוריות"
"Category","קטגוריה"
"Category API","ממשק קטגוריות"
"Category Data","נתוני קטגוריה"
"Category Navigation:","ניווט בקטגוריות:"
"Category Products","מוצרי קטגוריה"
"Category Top Navigation","ניווט עליון של קטגוריות"
"Category URL Suffix","סיומת כתובות URL של קטגוריות"
"Category attributes API","תכנות ממשק קטגוריות"
"Category delete error","שגיאה במחיקת קטגוריה"
"Category deleted","קטגוריה נמחקה"
"Category move error","שגיאה בהזזת קטגוריה"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","קטגוריה נשמרה"
"Change","שינוי"
"Change or Retrieve attribute store view","שינוי או אחזור תכונות תצוגת חנות"
"Change status","שנה סטטוס"
"Check items to add to the cart or","סמן פריטים להוספה לעגלה"
"Choose an Option...","בחר אפשרות..."
"Choose option...","בחר אפשרות..."
"Clear All","נקה הכל"
"Clear All Items","נקה כל הפריטים"
"Close Window","סגור חלון"
"Collapse All","סגור הכל"
"Comparable","ניתן להשוואה"
"Comparable on Front-end","ניתן להשוואה באתר"
"Compare Items","השווה פריטים"
"Compare Products","השוואת מוצרים"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","השווה מוצרים - %d פריטים"
"Compare Products List","רשימת השוואת מוצרים"
"Compare list successfully cleared","רשימת ההשוואות נוקתה בהצלחה"
"Conditions Combination","שילוב תנאים"
"Configurable Product","מוצר מורכב"
"Configurable Product Settings","מצר מורכב - הגדרות"
"Continue","המשך"
"Copy From Configurable","העתק ממורכב"
"Country/State","ארץ/מדינה"
"Create","צור"
"Create (Upload)","צור (העלה לשרת)"
"Create Empty","צור ריק"
"Create Product Settings","צור הגדרות מוצר"
"Create Simple Associated Product","צור קישור פשוט למוצר שייך"
"Create new category","צור קטגוריה חדשה"
"Create new product","צור מוצר חדש"
"Cross-sells","פילוח מכירות"
"Currently Shopping by","Currently Shopping by"
"Custom Design","עיצוב בהתאמה אישית"
"Custom Options","אפשרויות מותאמות"
"Customer Group","קבוצת לקוח"
"Customers Reviews","ביקורות קונים"
"Customers Tagged Product","מוצר מסומן עם תגית על יד לקוחות"
"Customers for alert %s was successfuly added to queue","לקוחות לתזכורת %s נוספו לתור בהצלחה"
"Data Type for Saving in Database","סוג נתון - לשמירה בבסיס הנתונים"
"Date","תאריך"
"Date & Time Custom Options","תאריך ושעה - אפשרויות מותאמות אישית"
"Date Subscribed","תאריך רישום"
"Date fields order","Date fields order"
"Datetime","תאריך/שעה"
"Decimal","עשרוני"
"Decimal Number","מספר עשרוני"
"Declare attribute value saving scope","הכרז על הקף שמירת ערכי תכונות"
"Default Qty","כמות ברירת מחדל"
"Default Values","ערכי ברירת מחדל"
"Default price","מחיר ברירת מחדל"
"Default value","ערך ברירת מחדל"
"Delete","מחק/מחיקה"
"Delete Attribute","מחק תכונה"
"Delete Attribute Set","מחק סט תכונות"
"Delete Category","מחק קטגוריה"
"Delete Option","מחק אופציה"
"Delete Row","מחר שורה"
"Delete Search","מחק חיפוש"
"Delete Selected Group","מחק קבוצה נבחרת"
"Delete category","מחק קטגוריה"
"Delete product","מחק מוצר"
"Depends on design theme","תלוי בערכת העיצוב"
"Design","עיצוב"
"Disabled","כבוי/לא פעיל"
