"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s הוסף בהצלחה לרשימת החלומות. לחץ <a href=""%2$s""כאן</a> להמשך הקנייה"
"%s's Wishlist","% רשימת מוצרים משותפת"
"* Required Fields","* שדות חובה"
"Add All to Cart","הוסף הכל לסל"
"Add to Cart","הוסף לסל"
"Add to Wishlist","הוסף לרשימת 'אני רוצה גם'"
"Added On","התווסף מוצר"
"Are You sure?","Are You sure?"
"Are you sure you want to remove this product from your wishlist?","האם הנך בטוח שברצונך להסיר את המוצר מרשימת המוצרים האישית?"
"Are you sure you would like to remove this item from the wishlist?","האם להסיר פריט זה מרשימת החלומות?"
"Back","חזור"
"Can't save description %s","לא יכול לשמור תיאור"
"Cannot create wishlist","לא ניתן ליצור רשימת חלומות"
"Cannot specify product","לא יכול לזהות מוצר"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","סמן אם ברצונך להוסיף קישור ל- RSS של רשימת החלומות"
"Comment","הערה"
"Email Sender","אימייל השולח/שלח אימייל לשולח"
"Email Template","תבנית אימייל"
"Email address can't be empty.","כתובת אימייל לא יכולה להיות ריקה."
"Email addresses, separated by commas","כתובות אימייל, מופרדות בפסיק"
"Enabled","פעיל"
"General Options","אפשרויות כלליות"
"Go to Wishlist","עבור לרשימת מוצרים אישית"
"Last Added Items","פריטים שנוספו לאחרונה"
"Message","הודעה"
"My Wishlist","רשימת החלומות שלי"
"My Wishlist (%d item)","רשימת החלומות שלי (%d פריט)"
"My Wishlist (%d items)","רשימת החלומות שלי (%d פריטים)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","הכנס כתובות מייל תקינות, מופרדות בפסיק, לדוגמא johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","הכנס הערה בבקשה..."
"Product","מוצר"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","קישור RSS לרשימת החלומות של %s"
"Remove Item","הסר"
"Share Wishlist","שתף רשימת מוצרים אישית"
"Share Your Wishlist","שתף ברשימת מוצרים אישית"
"Share options","אפשרויות שיתוף"
"Sharing Information","מידע על השיתוף"
"There was an error while adding item to wishlist.","ארעה שגיאה בזמן הוספת פריט לרשימת החלומות."
"There was an error while adding item to wishlist: %s","ארעה שגיאה בזמן הוספת פריט לרשימת החלומות: %s"
"There was an error while deleting item from wishlist.","ארעה שגיאה בזמן מחיקת פריט מרשימת החלומות"
"There was an error while deleting item from wishlist: %s","ארעה שגיאה בזמן מחיקת פריט מרשימת החלומות: %s"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Update Wishlist","עדכן רשימת מוצרים אישית"
"View Product","צפה במוצר"
"Wishlist","רשימת החלומות"
"Wishlist Section","איזור - רשימת החלומות"
"Wishlist Sharing","שיתוף רשימת מוצרים אישית"
"Wishlist is empty now.","רשימת החלומות ריקה כעת."
"You have no items in your wishlist.","אין פריטים ברשימת מוצרים אישית."
"You input not valid email address.","You input not valid email address."
"Your Wishlist was successfully shared","רשימת החלומות שלך שותפה בהצלחה"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","רשימת החלומות שלי"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
