"%d Review(s)","%d משוב(ים)"
"%s Review(s)","%s משוב(ים)"
"(Posted on %s)","(פורסם ב %s)"
"1 star","כוכב 1"
"2 stars","2 כוכבים"
"3 stars","3 כוכבים"
"4 stars","4 כוכבים"
"5 stars","5 כוכבים"
"Add New Review","הוסף סקירה חדשה"
"Add Your Review","הוסף את הסקירה שלך"
"Administrator","מנהל"
"All Reviews","כל הביקורות"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Are you sure?","האם אתה בטוח?"
"Average Customer Rating","ממוצע דירוג  הלקוחות"
"Average Customer Rating:","ממוצע דירוג הלקוחות:"
"Back","חזור"
"Back to Main Product Info","חזור לפירוט מוצר"
"Back to My Reviews","חזרה לסיקורים שלי"
"Back to Product Reviews","חזור אל סקירת מוצר"
"Be the first to review this product","היה ראשון לסקור מוצר זה"
"Created On","נוצר ב"
"Customer","לקוח"
"Customer Reviews","ביקורות לקוחות"
"Delete","מחק/מחיקה"
"Delete Review","מחק משוב"
"Detailed Rating","פירטי דירוגים"
"Edit Review '%s'","עריכת ביקורת '%s'"
"Guest","אורח"
"How do you rate this product?","איך תדרג מוצר זה?"
"ID","קוד/ת.ז/זיהוי"
"Manage Ratings","ניהול ביקורות"
"My Product Reviews","סיקורי המוצרים שלי"
"My Recent Reviews","סקירות אחרונות שלי"
"Name","שם"
"Name In Store","Name In Store"
"New Review","סיקור חדש"
"Nickname","כינוי"
"Pending Reviews","סיקורים בהמתנה"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","בחר מוצר"
"Please select one of each of the ratings above","בחר ערך מכל אחד הדירוגים הנ""ל"
"Posted By","פורסם ע""י"
"Price","מחיר"
"Product","מוצר"
"Product Name","שם המוצר"
"Product Rating","דירוג מוצר"
"Product Rating:","דירוג מוצר:"
"Product Review (submitted on %s):","<strong>סקירת מוצר</strong> (הוגשה בתאריך %s):"
"Product Reviews","סיקורי מוצר"
"Product SKU","קוד/מק""ט מוצר"
"Qty","כמות"
"Rating:","דירוג:"
"Review","סקירת מוצר"
"Review Details","פרטי סקירת מוצר"
"Review by %s","סוקר ע""י <em>%s</em>"
"Reviews and Ratings","סקירות ודירוגים"
"SKU","מק""ט"
"Save Review","שמור משוב"
"Status","מצב"
"Submit Review","שלח סקירת מוצר"
"Summary Rating","סיכום דירוג"
"Summary of Review","תקציר הביקורת"
"Summary of Your Review","סיכום סקירת המוצר"
"Summary of review","תקציר הביקורת"
"Title","כותרת"
"Type","סוג"
"Unable to post review. Please, try again later.","לא יכול לפרסם סיקור. אנא נסה מאוחר יותר"
"Update status","עדכן סטטוס"
"View All Reviews","הצג כל הסיקורים"
"View Details","הצג פרטים"
"Visible In","גלוי ב"
"Websites","אתרים"
"Write Your Own Review","רשום סקירה שלך"
"You have submitted no reviews.","לא הגשת אף סקירה."
"You're reviewing: %s","הסיקור שלח: <span class=""normal-weight"">%s</span>"
"Your Rating:","הדירוג שלך:"
"Your Review (submitted on %s):","<strong>הסיקור שלח</strong> (נשלח ב %s"
"Your review has been accepted for moderation","Your review has been accepted for moderation"
"OR","OR"
"My Product Reviews","My Product Reviews"
