"# of Uses","# שימושים"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","פעולה"
"Actions","פעולות"
"Add New Tag","תג חדש"
"Add Tags","הוסף תגים"
"Add Your Tags:","הוסף תגים משלך:"
"Add to Cart","הוסף לסל"
"Add to Wishlist","הוסף לרשימת 'אני רוצה גם'"
"All Tags","כל התגים"
"Approved","מאושר"
"Are you sure that you want to delete this tag?","אתה בטוח שברצונך למחוק תג זה?"
"Are you sure you want to delete this tag?","האם למחוק את התגית?"
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Are you sure?","האם אתה בטוח?"
"Back","חזור"
"Back to Tags List","חזור לרשימת התגיות"
"Back to view Tag","חזור לצפייה בתגית"
"Block Information","בלוק - מידע"
"CSV","CSV"
"Change status","שנה סטטוס"
"Click on a tag to view your corresponding products.","לחץ על תגית כדי לראות המוצרים הקשורים שלך"
"Country","ארץ"
"Customer Since","לקוח מתאריך"
"Customers","קונים"
"Customers Tagged '%s'","לקוחות סימנו עם תגית '%s'"
"Delete","מחק/מחיקה"
"Delete Tag","מחק תגית"
"Disabled","כבוי/לא פעיל"
"Edit Tag","ערוך תגית"
"Edit Tag '%s'","ערוך תגית '%s'"
"Email","מייל"
"First Name","שם פרטי"
"General Information","מידע כללי"
"Grid","רשת"
"ID","קוד/ת.ז/זיהוי"
"Last Name","שם משפחה"
"List","רשימה"
"My Recent Tags","תגיות אחרונות שלי"
"My Tags","תגיות שלי"
"Name","שם"
"New Tag","תגית חדשה"
"No matches found.","לא נמצאו התאמות."
"Other people marked this product with these tags:","אנשים אחרים נתנו למוצר הזה את התגים:"
"Pending","בהמתנה"
"Pending Tags","תגים ממתינים"
"Popular","פופלורי"
"Popular Tags","תגים פופולריים"
"Popularity","פופולריות"
"Price","מחיר"
"Product Name","שם המוצר"
"Product SKU","קוד/מק""ט מוצר"
"Product Tags","תגיות מוצר"
"Products","מוצרים"
"Products Tagged with '%s'","מוצרים מתוייגים עם '%s'"
"Products tagged with '%s'","מוצרים מתוייגים עם '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","מוצרים מתוייגים עם '%s' (<a href='%s'>RSS</a>)"
"SKU","מק""ט"
"Save Tag","שמור תגית"
"Search Results for '%s' (<a href='%s'>RSS</a>)","חפש תוצאות עבור '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","מצב"
"Tag","תג"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","מידע תג"
"Tag Name","שם תג"
"Tag Name: %s","שם תג: %s"
"Tag can't be empty.","Tag can't be empty."
"Tagged in","Tagged in"
"Tags","תגים"
"Tags Aren't Available","תגים לא זמינים"
"Tags:","תגים:"
"Telephone","טלפון"
"Thank you. Your tag has been accepted for moderation.","תודה. התג שלך התקבל ל- moderation"
"Unable to find any products tagged with '%s' in the current store","לא נמצאו מוצרים עם תג  '%s' בחנות הנוכחית"
"Unable to remove tag. Please, try again later.","לא יכול להסיר תג. אנא נסה מאוחר יותר."
"Unable to save tag(s)","לא יכול לשמור תג(ים)"
"Unable to save your tag. Please, try again later.","לא יכול לשמור את התג שלך. אנא נסה מאוחר יותר."
"Use spaces to separate tags. Use single quotes (') for phrases.","השתמש ברווחים בכדי להפריד את התגים. השתמש ב (') במשפטים"
"Uses","שימושים"
"View All","View All"
"View All Tags","הצג כל התגים"
"View Customers","הצג לקוחות"
"View Products","הצג מוצרים"
"Visible In","גלוי ב"
"XML","XML"
"You have not tagged any products yet.","עדיים לא תייגת מוצרים"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","מיקוד/ת.ד."
"You have not tagged any products yet.","You have not tagged any products yet."
