"%s already exist","%s כבר קיימים"
"%s already exists","%s כבר קיים"
"-- Please Select --","-- בחר מהרשימה --"
"Add Block Names to Hints","הוסף שם בלוק לרמזים"
"Add Secret Key to URLs","הוסף מפתח סודי ל- Urls"
"Add Store Code to Urls","הוסף קוד חנות ל- Urls"
"Admin","ניהול"
"Admin Base URL","URL ניהול בסיסי"
"Admin User Emails","כתובות דוא""ל"
"Advanced","מתקדם"
"Allow countries","הרשה ארצות"
"Allowed IPs (comma separated)","כתובות IP מורשות (מופרדות בפסיק)"
"Are you sure?","האם אתה בטוח?"
"Back","חזור"
"Backup options","Backup options"
"Base JavaScript URL","כתובת בסיס ל- JavaScript"
"Base Link URL","כתובת בסיס לקישורים"
"Base Media URL","כתובת בסיס למדיה"
"Base Skin URL","כתובת בסיס לסקינים"
"Base URL","כתובת בסיס"
"Before modifying the store view code please make sure that it is not used in index.php","Before modifying the store view code please make sure that it is not used in index.php"
"Before modifying the website code please make sure that it is not used in index.php","Before modifying the website code please make sure that it is not used in index.php"
"Block with name ""%s"" already exists","בלוק בשם ""%s"" כבר קיים"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","לא יכול לקבל אובייקט מבוקש"
"Can't retrieve entity config: %s","Can't retrieve entity config: %s"
"Cancel","בטל"
"Cannot Delete Email Template","לא יכול למחוק תבנית אימייל"
"Cannot complete this operation from non-admin area.","לא יכול להשלים פעולה מאזור שאינו איזור ניהול"
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","קוד"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","קובץ שליטה הועלה אבל סוג לא קיים "
"Cookie Domain","דומיין עוגיה"
"Cookie Lifetime","אורך חיי עוגיה"
"Cookie Path","נתיב עוגיה"
"Copyright","זכויות יוצרים"
"Countries options","אפשרויות ארצות"
"Create Store","צור חנות"
"Create Store View","צור תצורת חנות"
"Create Website","צור אתר"
"Current package name","שם חבילה נוכחית"
"Custom Design","עיצוב בהתאמה אישית"
"Custom admin URL","Custom admin URL"
"Custom email 1","אימייל מותאם אישית 1"
"Custom email 2","אימייל מותאם אישית 2"
"Customer support","תמיכת לקוחות"
