"* Select shipping method","* בחר אופן שילוח"
"AVS Status: %s","AVS סטטוס: %s"
"Add","הוסף"
"Add Shipping Method","הוסף שיטת שילוח"
"Allowed Methods","פעולות מורשות"
"Amount: %s","כמות: %s"
"Auto-generated from GoogleCheckout Charge","נוצר באופן אוטומטי על ידי GoogleCheckout Charge"
"Buyer account age: %s days","וותק החשבון: %s ימים"
"CC Partial: xxxx-%s","CC חלקי: xxxx-%s"
"CID Status: %s","CID סטאטוס: %s"
"Carrier Calculated Methods","שיטות הובלה מחושבות"
"Cart Discount","הנחת עגלת קניות"
"Checkout Image Style","סוג תמונה בצ'ק אאוט"
"Continue Shopping URL","כתובת להמשך קנייה"
"Debug","אתר שגיאות"
"Default Package Height (in)","חבילה - גובה ברירת מחדל (אינצ)"
"Default Package Length (in)","חבילה - אורך ברירת מחדל (אינצ)"
"Default Package Width (in)","חבילה - רוחב ברירת מחדל (אינצ)"
"Default price for methods","Default price for methods"
"Default price:","מחיר ברירת מחדל:"
"Delivery Address Category","קטגוריית כתובת מסירה"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","כבה את טבלות המס של ברירת המחדל"
"Eligible for protection: %s","Eligible for protection: %s"
"Enable","אפשר"
"Enable Carrier Calculated","אפשר חישוב הובלה"
"Enable Digital Delivery","אפשר משלוח דיגיטלי"
"Enable Flat Rate","אפשר שיעור flat"
"Enable Merchant Calculated","אפשר חישוב סוחרים"
"Enable this if your checkout request is too big and being cut off.","אפשר זאת אם בקשת הצ'ק אאוט שלך ארוכה מדי ונחתכת"
"Expiration: %s","תפוגה: %s"
"Financial: %s -> %s","פיננסי: %s -> %s"
"Free Shipping","שילוח חינם"
"Fulfillment: %s -> %s","מימוש: %s -> %s"
"Google API","ממשק ניהול Google"
"Google Authorization:","Google הרשאת:"
"Google Buyer Id: %s","Google Buyer Id: %s"
"Google Charge:","Google גביית:"
"Google Checkout","Google צ'ק אאוט"
"Google Checkout Shipping - Carrier Calculated","Google צ'ק אאוט משלוח – הובלה מחושבת"
"Google Checkout Shipping - Digital Delivery","Google צ'ק אאוט משלוח – משלוח דיגיטלי"
"Google Checkout Shipping - Flat Rate","Google צ'ק אאוט משלוח – שיעור flat"
"Google Checkout Shipping - Merchant Calculated","Google צ'ק אאוט משלוח – סוחר מחושב"
"Google Checkout: %s","Google צ'ק אאוט: %s"
"Google Order Number: %s","Google מספר הזמנה: %s"
"Google Refund:","Google החזר:"
"Google Risk Information:","Google מידע סיכון:"
"Google order status change:","Google order status change:"
"Hide Cart Contents During Checkout","הסתר תוכן עגלה בזמן התשלום"
"IP Address: %s","כתובת IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","אם מאופשר,תוכן עגלה יהיה חסוי לאחר לחיצה על כפתור Google  צ'ק אאוט בעגלת הקניות, וישוחזר אם יופעל קישור ""ערוך עגלת קניות"". "
"Invoice auto-created: %s","חשבונית נוצרה אוטומטית: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","גדול - %s"
"Latest Charge: %s","חיוב אחרון: %s"
"Latest Refund: %s","החזר אחרון: %s"
"Location","מיקום/אתר"
"Medium - %s","בינוני - %s"
"Merchant ID","קוד סוחר"
"Merchant Key","מפתח סוחר"
"Method","שיטה"
"New order status","סטטוס הזמנה חדשה"
"No","לא"
"Optional, leave empty for home page.","אופציונלי, השאר ריק לעמוד הבית"
"Rate 1 Amount","שיעור 1 כמות"
"Rate 1 Ship To Applicable Countries","שיעור 1 שלח למדינות אפשריות"
"Rate 1 Ship to Specific Countries","שיעור 1 שלח למדינות נבחרות"
"Rate 1 Title","שיעור 1 כותרת"
"Rate 2 Amount","שיעור 2 כמות"
"Rate 2 Ship To Applicable Countries","שיעור 2 שלח למדינות אפשריות"
"Rate 2 Ship to Specific Countries","שיעור 2 שלח למדינות נבחרות"
"Rate 2 Title","שיעור 2 כותרת"
"Rate 3 Amount","שיעור 3 כמות"
"Rate 3 Ship To Applicable Countries","שיעור 3 שלח למדינות אפשריות"
"Rate 3 Ship to Specific Countries","שיעור 3 שלח למדינות נבחרות"
"Rate 3 Title","שיעור 3 כותרת"
"Remove","הסר"
"Required for live Google Checkout transactions.","נדרש לצ'ק אאוט Live Google"
"Sandbox","תיבת שליחה"
"Secure Callback URL","כתובת URL מאובטחת לחזרה"
"Small - %s","קטן - %s"
"Total Charged: %s","סה""כ חוייב: %s"
"Total Refunded: %s","סה""כ הוחזר: %s"
"Transparent","שקוף"
"United Kingdom","אנגליה"
"United States","ארה""ב"
"Virtual item to reflect discount total","Virtual item to reflect discount total"
"White Background","רקע לבן"
"You will be redirected to GoogleCheckout in a few seconds.","אתה תועבר ל Google צ'ק אאוט בעוד מספר שניות"
