"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","אפשר כמות קטנה מ-0"
"Allow Qty Below 0 and Notify Customer","אפשר כמות קטנה מ-0 ועדכן לקוח"
"Backorders","הזמנות בחוסר מלאי"
"By Fixed value","לפי ערך קבוע"
"By Percentage","לפי אחוזים"
"Can not specify product identifier for order item","לא ניתן לציין מזהה מוצר עבור פריט"
"Catalog Inventory","מלאי קטלוג"
"Decrease Stock When Order is Placed","הקטן מלאי עם קבלת הזמנה"
"In Stock","במלאי"
"Inventory","מלאי"
"Inventory API","ממשק ניהול מלאי"
"Inventory Section","איזור - מלאי"
"Manage Stock","ניהול מלאי"
"Maximum Qty Allowed in Shopping Cart","כמות מקסימלית מורשית בעגלת הקניות"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המורשית בעגלת הקניות"
"No Backorders","אין הזמנות חוזרות"
"Notify for Quantity Below","התרע לכמות מתחת"
"Out of Stock","אין במלאי"
"Product Stock Options","אפשרויות מלאי מוצרים"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","אחזר מידע מלאי"
"Retrieve stock data by product ids","אחזר מידע מלאי לפי קוד מוצר"
"Rule price","מחיר חוק"
"Set Items' Status to be In Stock When Order is Cancelled","שנה סטאטוס מוצר ל 'במלאי' כאשר ההזמנה מבוטלת"
"Some of the products are currently out of stock","חלק מהמוצרים ללא מלאי"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","אפשריות מלאי"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","הכמות המקסימלית של רכישות היא  %s "
"The minimum quantity allowed for purchase is %s.","הכמות המינימלית של רכישות היא  %s "
"The requested quantity for ""%s"" is not available.","הכמות המבוקשת ל ""%s"" אינה זמינה."
"The requested quantity is not available.","הכמות המבוקשת אינה זמינה"
"This product is currently out of stock.","המוצר לא במלאי כרגע"
"To Fixed Value","עד ערך"
"To Percentage","עד אחוז"
"Update","עדכן"
"Update product stock data","עדכן נתוני מלאי למוצר"
"Update the Product","עדכן מוצר"
