"* Required Fields","* שדות חובה"
"A new password was sent","סיסמא חדשה נשלחה"
"Account Dashboard","חשבון - לוח ניהול"
"Account Information","מידע אודות חשבונך"
"Account Sharing Options","אופציות שיתוף חשבון"
"Account information was successfully saved","מידע אודות החשבון נשמר בהצלחה"
"Action","פעולה"
"Add New Address","הוסף כתובת חדשה"
"Add New Customer","לקוח חדש"
"Add New Customer Group","קבוצת לקוחות חדשה"
"Added From","נוסף מ"
"Additional Address Entries","שדות כתובת נוספים"
"Address","כתובת"
"Address Book","ספר כתובות"
"Address Information","מידע אודות הכתובת"
"Addresses","כתובות"
"Admin","ניהול"
"All","הכל"
"All Store Views","כל מבטי החנויות"
"All countries","כל הארצות"
"Always optional","Always optional"
"Amount","כמות"
"Approved","מאושר"
"Are you sure that you want to remove this item?","אתה בטוח שברצונך להסיר פריט זה?"
"Are you sure you want to cancel adding of this address?","האם לבטל את הוספת הכתובת?"
"Are you sure you want to delete this address?","האם אתה רוצה למחוק כתובת זו?"
"Are you sure?","האם אתה בטוח?"
"Array of Entity collections is expected","מצפה למערך של אוספי יישויות"
"Assign a customer group","שייך לקבוצת לקוחות"
"Average Sale","מכירה ממוצעת"
"Back","חזור"
"Back to Login","בחזרה ל'כניסה'"
"Bad request.","בקשה שגויה."
"Bill to Name","שלח חיוב לשם"
"Billing Information","מידע אודות החיוב"
"Bought From","נקנה מ"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","ביצירת חשבון בחנות זו, תוכל לבצע תשלום בצורה מהירה יותר, להזין מספר כתובות למשלוח, לעקוב אחר הזמנותיך וכו'."
"CSV","CSV"
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","בטל"
"Change Account Password","שנה סיסמא לחשבון"
"Change Billing Address","שנה כתובת לחיוב"
"Change Password","שנה סיסמא"
"Change Shipping Address","שנה כתובת למשלוח"
"City","עיר"
"Company","חברה"
"Config","הגדרות"
"Confirm New Password","אשר סיסמא חדשה"
"Confirm Password","אימות סיסמא"
"Confirmation Link Email","דוא""ל אישור קישור"
"Confirmed","מאושר"
"Contact Information","מידע ליצירת קשר"
"Continue Shopping","המשך בקניות"
"Country","ארץ"
"Create","צור"
"Create New Account Options","יצירת חשבון חדש - אפשרויות"
"Create New Customer Account","צור חשבון לקוח חדש"
"Create Order","צור הזמנה"
"Create an Account","צור חשבון"
"Create customer","צור לקוח"
"Create customer address","צור כתובת לקוח"
