"API Login ID","קוד התחברות ל- API"
"Authorize Only","אשר בלבד"
"Authorize and Capture","אשר והתחל לכידה"
"Authorize.net","Authorize.net"
"Credit Card Types","סוגי כרטיסי אשראי"
"Credit Card Verification","אישור כרטיס אשראי"
"Debug","אתר שגיאות"
"Email customer","אימייל לקוח/שלח אימייל ללקוח"
"Enabled","פעיל"
"Error in authorizing the payment","שגיאה בתהליך אישור התשלום"
"Error in capturing the payment","Error in capturing the payment"
"Error in payment gateway","Error in payment gateway"
"Error in refunding the payment","שגיאה בהחזר תשלום"
"Error in refunding the payment.","שגיאה בהחזר תשלום."
"Error in retrieving the transaction","Error in retrieving the transaction"
"Fraud order status","סטטוס הזמנות הונאה"
"Gateway request error: %s","Gateway request error: %s"
"Invalid amount for authorization","כמות לא תקנית לאישור"
"Invalid amount for authorization.","כמות לא תקנית לאישור."
"Invalid transaction id","Invalid transaction id"
"Maximum Order Total","סה""כ מקסימלי להזמנה"
"Merchant Login","התחברות סוחר"
"Merchant's email","סוחר - אימייל"
"Minimum Order Total","סה""כ מינימלי להזמנה"
"New order status","סטטוס הזמנה חדשה"
"Partner","שותף"
"Password","סיסמא"
"Payflow Pro","Payflow Pro"
"Payment Action","פעולת תשלום"
"Payment authorization error.","שגיאה באישור תשלום"
"Payment authorization transaction has been declined.","Payment authorization transaction has been declined."
"Payment from Specific countries","תשלום מארצות ספציפיות"
"Payment from applicable countries","תשלום ממדינות מאושרות"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","מיון לפי"
"TENDER","TENDER"
"Test mode","מוד בדיקות"
"Title","כותרת"
"Transaction key","מפתח/קוד טרנזקציה"
"URL","כתובת"
"Use Proxy","Use Proxy"
"User","משתמש"
"VERBOSITY","VERBOSITY"
"Voided transaction","טרנזקציה ריקה"
