"--Please Select--","--בחר אפשרות--"
"<label>Make Check payable to:</label> %s","<label>צ'ק לפקודת:</label> %s"
"<label>Make Check payable to</label>: %s","<label>צ'ק לפקודת</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","לא יכול להעלות את אובייקט המידע על התשלום"
"Can not retrieve payment method instance","לא יכול להפעיל את מופע שיטת התשלום"
"Can not retrieve payment method model object.","לא יכול להפעיל את אובייקט שיטת התשלום"
"Card Verification Number","מספר CVV של הכרטיס"
"Check / Money order","הזמנת כסף / צ'ק"
"Credit Card Number","מספר כרטיס אשראי"
"Credit Card Number: %s","מספר כרטיס אשראי: %s"
"Credit Card Number: xxxx-%s","מספר כרטיס אשראי: xxxx-%s"
"Credit Card Type","סוג כרטיס אשראי"
"Credit Card Type: %s","סוג כרטיס אשראי: %s"
"Credit Card Types","סוגי כרטיסי אשראי"
"Credit Card Verification","אישור כרטיס אשראי"
"Enabled","פעיל"
"Expiration Date","בתוקף עד"
"Expiration Date: %s/%s","תאריך תפוגה: %s/%s"
"Make Check payable to","צ'ק לפקודת"
"Make Check payable to: %s","צ'ק לפקודת: %s"
"Maximum Order Total","סה""כ מקסימלי להזמנה"
"Minimum Order Total","סה""כ מינימלי להזמנה"
"Month","חודש"
"Name on Card","שם בעל הכרטיס"
"Name on the Card: %s","שם על כרטיס: %s"
"New order status","סטטוס הזמנה חדשה"
"Payment Methods","שיטות תשלום"
"Payment Methods Section","איזור - שיטות תשלום"
"Payment from Specific countries","תשלום מארצות ספציפיות"
"Payment from applicable countries","תשלום ממדינות מאושרות"
"Purchase Order Number","מספר הזמנה"
"Purchase Order Number: %s","מספר הזמנה: %s"
"Purchase order","Purchase order"
"Saved CC","נשמר CC"
"Send Check to","שלח צ'ק ל"
"Send Check to:","שלח צ'ק ל:"
"Sort order","מיון לפי"
"Title","כותרת"
"What is this?","מה זה?"
"Year","שנה"
"Zero Subtotal Checkout","סכום סה""כ של סיכום ביניים שווה לאפס"
